"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
710.1516," 15/16"" ", $53.64 , $45.59 , $24.14 , $21.72 , $19.31 ,36,71010,,,,,
710.1616," 1"" ", $53.68 , $45.63 , $24.16 , $21.74 , $19.32 ,36,71011,,,,,
710.1716," 1-1/16"" ", $62.48 , $53.11 , $28.12 , $25.31 , $22.49 ,24,71016,,,,,
710.1816," 1-1/8"" ", $63.08 , $53.62 , $28.39 , $25.55 , $22.71 ,24,71012,,,,,
710.1916, 1-3/16 , $66.52 , $56.55 , $29.94 , $26.94 , $23.95 ,24,71017,,,,,
710.2016," 1-1/4"" ", $69.17 , $58.80 , $31.13 , $28.02 , $24.90 ,24,71013,,,,,
710.2116," 1-5/16"" ", $78.66 , $66.86 , $35.40 , $31.86 , $28.32 ,18,71018,,,,,
710.2216," 1-3/8"" ", $83.35 , $70.85 , $37.51 , $33.76 , $30.01 ,18,71014,,,,,
710.2416," 1-1/2"" ", $90.23 , $76.70 , $40.60 , $36.54 , $32.48 ,18,71015,,,,,
,,,,,,,,,,,,,
MAG727 LONG AUGER BITS,,,,,,,,,,,,,
"23"" OAL x 18"" Twist Length",,,,,,,,,,,,,
727.0916," 9/16"" ", $65.93 , $56.04 , $29.67 , $26.70 , $23.74 ,24,72701,,,,,
727.1016," 5/8"" ", $66.62 , $56.63 , $29.98 , $26.96 , $23.98 ,24,72702,,,,,
727.1116," 11/16"" ", $74.08 , $62.97 , $33.34 , $30.00 , $26.67 ,24,72703,,,,,
727.1216," 3/4"" ", $75.47 , $64.15 , $33.96 , $30.56 , $27.17 ,24,72704,,,,,
727.1316," 13/16"" ", $77.39 , $65.78 , $34.83 , $31.34 , $27.86 ,24,72705,,,,,
727.1416," 7/8"" ", $83.54 , $71.01 , $37.59 , $33.83 , $30.08 ,24,72706,,,,,
727.1516," 15/16"" ", $89.59 , $76.16 , $40.32 , $36.29 , $32.25 ,24,72707,,,,,
727.1616," 1"" ", $91.52 , $77.79 , $41.18 , $37.06 , $32.95 ,24,72708,,,,,
,,,,,,,,,,,,,
MAG728 TIMBER/ARBORIST'S Bits,,,,,,,,,,,,,
"40"" OAL, 36"" twin flutes, two spurs, ½"" shank with 3 flats.",,,,,,,,,,,,,
728.0916,"9/16"" ", $176.70 , $150.19 , $79.51 , $71.56 ,,,72801,,,,,
728.1016,"5/8"" ", $180.72 , $153.61 , $81.32 , $73.19 ,,,72802,,,,,
728.1116,"11/16"" ", $182.49 , $155.11 , $82.12 , $73.91 ,,,72803,,,,,
