"Effective February 15, 2022 - freight prepaid is $600",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Part number, Size , February 15 2022 List ,Trade Net,Less than $600 Order,$600 or more order,Bulk Net Each, Bulk/ Pcs per pkg ,UPC Number 722170,,,,,
,,,,,,,,,,,,,
BITS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG357 NAIL BOMBER MOLYBDENUM COATED,,,,,,,,,,,,,
HEAVY DUTY SHIP AUGER BITS,,,,,,,,,,,,,
"8"" OAL x 5"" Twist Length",,,,,,,,,,,,,
503.3164," 31/64""  ", $19.75 , $16.78 , $8.89 , $8.00 ,,6,50328,,,,,
503.3264," 1/2""  ", $21.10 , $17.94 , $9.50 , $8.55 ,,6,50329,,,,,
,,,,,,,,,,,,,
Twist Drill Sets,,,,,,,,,,,,,
503.1300S, 13-PC  , $38.78 , $32.96 , $17.45 , $15.71 ,,,50330,,,,,
503.2100S, 21-PC , $151.90 , $129.11 , $68.35 , $61.52 ,,,50331,,,,,
503.2900S, 29-PC  , $226.23 , $192.29 , $101.80 , $91.62 ,,,50332,,,,,
503.2900B, 29-PC  , $245.62 , $208.78 , $110.53 , $99.48 ,,,50333,,,,,
,,,,,,,,,,,,,
MAG503," COBALT W/ DISPLAY CASE - 1/16"" TO 1/2"" (270 pcs) ",,,,,,,,,,,,
,,,,,,,,,,,,,
MAG101 - SDS+ CONCRETE SCREW BITS,,,,,,,,,,,,,
101.532.500," 5/32"" X 5""  FOR CONCRETE SCREWS ", $5.17 , $4.40 , $2.33 , $2.09 ,,1,10101,,,,,
101.532.700," 5/32"" X 7""  (TAPCON W/5/16"" HEX) ", $5.82 , $4.94 , $2.62 , $2.36 ,,1,10102,,,,,
101.316.500," 3/16"" X 5""  (TAPCON W/5/16"" HEX) ", $5.17 , $4.40 , $2.33 , $2.09 ,,1,10103,,,,,
101.316.700," 3/16"" X 7""  (TAPCON W/5/16"" HEX) ", $5.82 , $4.94 , $2.62 , $2.36 ,,1,10104,,,,,
,,,,,,,,,,,,,
MAG102 - SDS PLUS HAMMER BITS,,,,,,,,,,,,,
102.04.0316," 3/16"" X 4""  ", $3.20 , $2.72 , $1.44 , $1.30 ,,1,10201,,,,,
102.04.0416," 1/4"" x 4""  ", $3.20 , $2.72 , $1.44 , $1.30 ,,1,10206,,,,,
102.06.0316," 3/16"" X 6""  ", $3.39 , $2.88 , $1.53 , $1.37 ,,1,10202,,,,,
102.06.0416," 1/4"" X  6""  ", $3.39 , $2.88 , $1.53 , $1.37 ,,1,10207,,,,,
102.06.0516," 5/16"" X 6""  ", $4.52 , $3.85 , $2.04 , $1.83 ,,1,10210,,,,,
102.06.0616," 3/8"" X 6""  ", $4.52 , $3.85 , $2.04 , $1.83 ,,1,10212,,,,,
102.06.0716," 7/16"" X 6""  ", $6.46 , $5.49 , $2.91 , $2.62 ,,1,10216,,,,,
102.06.0816," 1/2"" X 6""  ", $6.46 , $5.49 , $2.91 , $2.62 ,,1,10219,,,,,
102.06.0916," 9/16"" X 6""  ", $7.76 , $6.59 , $3.49 , $3.14 ,,1,10223,,,,,
102.06.1016," 5/8"" X 6""   ", $7.76 , $6.59 , $3.49 , $3.14 ,,1,10226,,,,,
102.09.0316," 3/16"" X 9""   ", $5.82 , $4.94 , $2.62 , $2.36 ,,1,10203,,,,,
102.09.0416," 1/4"" X 9""  ", $5.82 , $4.94 , $2.62 , $2.36 ,,1,10208,,,,,
102.09.0516," 5/16""  X  9""  ", $7.11 , $6.04 , $3.20 , $2.88 ,,1,10211,,,,,
102.09.0616," 3/8"" X 9""  ", $7.11 , $6.04 , $3.20 , $2.88 ,,1,10213,,,,,
102.09.0816," 1/2"" X 9""  ", $8.40 , $7.14 , $3.78 , $3.40 ,,1,10220,,,,,
102.09.1016," 5/8"" X 9""  ", $8.40 , $7.14 , $3.78 , $3.40 ,,1,10227,,,,,
102.09.1216," 3/4"" X 9""  ", $14.22 , $12.09 , $6.40 , $5.76 ,,1,10230,,,,,
102.09.1416," 7/8"" X 9""  ", $15.51 , $13.19 , $6.98 , $6.28 ,,1,10233,,,,,
102.09.1616," 1"" X 9""  ", $22.62 , $19.23 , $10.18 , $9.16 ,,1,10236,,,,,
102.12.0316," 3/16"" X 12""  ", $7.76 , $6.59 , $3.49 , $3.14 ,,1,10204,,,,,
102.12.0416," 1/4"" X 12""   ", $7.76 , $6.59 , $3.49 , $3.14 ,,1,10209,,,,,
102.12.0516," 5/16"" X 12""  ", $9.05 , $7.69 , $4.07 , $3.66 ,,1,10239,,,,,
102.12.0616," 3/8"" X 12""  ", $9.05 , $7.69 , $4.07 , $3.66 ,,1,10214,,,,,
102.12.0716," 7/16"" X 12""  ", $10.34 , $8.79 , $4.65 , $4.19 ,,1,10217,,,,,
102.12.0816," 1/2"" X 12""  ", $10.34 , $8.79 , $4.65 , $4.19 ,,1,10221,,,,,
102.12.0916," 9/16"" X 12""  ", $11.63 , $9.89 , $5.24 , $4.71 ,,1,10224,,,,,
102.12.1016," 5/8"" X 12""  ", $14.54 , $12.36 , $6.54 , $5.89 ,,1,10228,,,,,
102.12.1216," 3/4"" X 12""  ", $18.10 , $15.38 , $8.14 , $7.33 ,,1,10231,,,,,
102.12.1416," 7/8"" X 12""  ", $19.39 , $16.48 , $8.73 , $7.85 ,,1,10234,,,,,
102.12.1616," 1"" X 12""  ", $27.15 , $23.08 , $12.22 , $10.99 ,,1,10237,,,,,
102.18.0616," 3/8"" X 18""  ", $15.51 , $13.19 , $6.98 , $6.28 ,,1,10215,,,,,
102.18.0716," 7/16"" X 18""  ", $18.10 , $15.38 , $8.14 , $7.33 ,,1,10218,,,,,
102.18.0816," 1/2"" X 18""  ", $18.10 , $15.38 , $8.14 , $7.33 ,,1,10222,,,,,
102.18.0916," 9/16"" X 18""  ", $20.68 , $17.58 , $9.31 , $8.38 ,,1,10225,,,,,
102.18.1016," 5/8"" X 18""  ", $20.68 , $17.58 , $9.31 , $8.38 ,,1,10229,,,,,
102.18.1216," 3/4"" X 18""  ", $25.21 , $21.43 , $11.34 , $10.21 ,,1,10232,,,,,
102.18.1416," 7/8"" X 18""  ", $26.50 , $22.53 , $11.93 , $10.73 ,,1,10235,,,,,
102.18.1616," 1"" X 18""  ", $32.00 , $27.20 , $14.40 , $12.96 ,,1,10238,,,,,
102.24.0616," 3/8"" X 24""   ", $23.27 , $19.78 , $10.47 , $9.42 ,,1,10243,,,,,
102.24.0816," 1/2"" X 24""  ", $25.85 , $21.98 , $11.63 , $10.47 ,,1,10241,,,,,
102.24.1016," 5/8"" X 24""  ", $27.47 , $23.35 , $12.36 , $11.13 ,,1,10244,,,,,
102.24.1216," 3/4"" X 24""  ", $31.67 , $26.92 , $14.25 , $12.83 ,,1,10242,,,,,
,,,,,,,,,,,,,
MAG103- CONCRETE SCREW BITS,,,,,,,,,,,,,
103.532.350," 5/32"" X 3-1/2""  ", $1.29 , $1.10 , $0.58 , $0.52 ,,10,10301,,,,,
103.532.450," 5/32"" X 4-1/2""  ", $1.45 , $1.24 , $0.65 , $0.59 ,,10,10302,,,,,
103.532.550," 5/32"" X 5-1/2"" ", $1.94 , $1.65 , $0.87 , $0.79 ,,10,10303,,,,,
103.532.650," 5/32"" X 6-1/2"" ", $2.26 , $1.92 , $1.02 , $0.92 ,,10,10304,,,,,
103.532.750," 5/32"" X 7-1/2"" ", $3.23 , $2.75 , $1.45 , $1.31 ,,10,10305,,,,,
,,,,,,,,,,,,,
103.316.350," 3/16"" X 3-1/2""  ", $1.45 , $1.24 , $0.65 , $0.59 ,,10,10306,,,,,
103.316.450," 3/16"" X 4-1/2""  ", $1.62 , $1.37 , $0.73 , $0.65 ,,10,10307,,,,,
103.316.550," 3/16"" X 5-1/2""  ", $2.10 , $1.79 , $0.95 , $0.85 ,,10,10308,,,,,
103.316.650," 3/16"" X 6-1/2"" ", $2.42 , $2.06 , $1.09 , $0.98 ,,10,10309,,,,,
103.316.750," 3/16"" X 7-1/2"" ", $3.56 , $3.02 , $1.60 , $1.44 ,,10,10310,,,,,
103.TAPKIT, INSTALLATION KIT , $38.78 , $32.96 , $17.45 , $15.71 ,,1,10311,,,,,
,,,,,,,,,,,,,
MAG104 - DOUBLE END BITS,,,,,,,,,,,,,
104.0216," 1/8"" - 135º SPLIT POINT TWIST DRILL ", $0.81 , $0.69 , $0.36 , $0.33 ,,12,10402,,,,,
104.0316," 3/16"" ", $2.42 , $2.06 , $1.09 , $0.98 ,,12,10403,,,,,
104.0416," 1/4""  ", $3.49 , $2.97 , $1.57 , $1.41 ,,12,10401,,,,,
104.3135, #30 -135º SPLIT POINT DRILL , $0.81 , $0.69 , $0.36 , $0.33 ,,12,10404,,,,,
,,,,,,,,,,,,,
 MAG105- BLACK OXIDE JOBBER. 135º SPLIT POINT BLACK OXIDE ,,,,,,,,,,,,,
105.J101, #1 JOBBER. 135º S.P.  BLACK OXIDE , $3.23 , $2.75 , $1.45 , $1.31 ,,12,10501,,,,,
105.J102, #2 JOBBER. 135º S.P.  BLACK OXIDE , $3.23 , $2.75 , $1.45 , $1.31 ,,12,10502,,,,,
105.J103, #3 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10503,,,,,
105.J104, #4 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10504,,,,,
105.J105, #5 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10505,,,,,
105.J106, #6 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10506,,,,,
105.J107, #7 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10507,,,,,
105.J108, #8 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10508,,,,,
105.J109, #9 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10509,,,,,
105.J110, #10 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10510,,,,,
105.J111, #11 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10511,,,,,
105.J112, #12 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10512,,,,,
105.J113, #13 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10513,,,,,
105.J114, #14 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10514,,,,,
105.J115, #15 JOBBER. 135º S.P.  BLACK OXIDE , $2.59 , $2.20 , $1.16 , $1.05 ,,12,10515,,,,,
105.J116, #16 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10516,,,,,
105.J117, #17 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10517,,,,,
105.J118, #18 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10518,,,,,
105.J119, #19 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10519,,,,,
105.J120, #20 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10520,,,,,
105.J121, #21 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10521,,,,,
105.J122, #22 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10522,,,,,
105.J123, #23 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10523,,,,,
105.J124, #24 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10524,,,,,
105.J125, #25 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10525,,,,,
105.J126, #26 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10526,,,,,
105.J127, #27 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10527,,,,,
105.J128, #28 JOBBER. 135º S.P.  BLACK OXIDE , $2.10 , $1.79 , $0.95 , $0.85 ,,12,10528,,,,,
105.J129, #29 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10529,,,,,
105.J130, #30 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10530,,,,,
105.J131, #31 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10531,,,,,
105.J132, #32 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10532,,,,,
105.J133, #33 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10533,,,,,
105.J134, #34 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10534,,,,,
105.J135, #35 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10535,,,,,
105.J136, #36 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10536,,,,,
105.J137, #37 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10537,,,,,
105.J138, #38 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10538,,,,,
105.J139, #39 JOBBER. 135º S.P.  BLACK OXIDE , $1.62 , $1.37 , $0.73 , $0.65 ,,12,10539,,,,,
105.J140, #40 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10540,,,,,
105.J141, #41 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10541,,,,,
105.J142, #42 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10542,,,,,
105.J143, #43 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10543,,,,,
105.J144, #44 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10544,,,,,
105.J145, #45 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10545,,,,,
105.J146, #46 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10546,,,,,
105.J147, #47 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10547,,,,,
105.J148, #48 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10548,,,,,
105.J149, #49 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10549,,,,,
105.J150, #50 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10550,,,,,
105.J151, #51 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10551,,,,,
105.J152, #52 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10552,,,,,
105.J153, #53 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10553,,,,,
105.J154, #54 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10554,,,,,
105.J155, #55 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10555,,,,,
105.J156, #56 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10556,,,,,
105.J157, #57 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10557,,,,,
105.J158, #58 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10558,,,,,
105.J159, #59 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10559,,,,,
105.J160, #60 JOBBER. 135º S.P.  BLACK OXIDE , $1.45 , $1.24 , $0.65 , $0.59 ,,12,10560,,,,,
,,,,,,,,,,,,,
MAG106 - AIRCRAFT - EXTENDED HSS TWIST DRILL BIT,,,,,,,,,,,,,
106.06.0432," 1/8"" X 6""   ", $3.20 , $2.72 , $1.44 , $1.30 ,,1,10611,,,,,
106.06.0532," 5/32"" X 6""   ", $3.49 , $2.97 , $1.57 , $1.41 ,,1,10612,,,,,
106.06.0632," 3/16"" X 6""   ", $4.27 , $3.63 , $1.92 , $1.73 ,,1,10613,,,,,
106.06.0732," 7/32"" X 6""   ", $5.33 , $4.53 , $2.40 , $2.16 ,,1,10614,,,,,
106.06.0832," 1/4"" X 6""   ", $6.40 , $5.44 , $2.88 , $2.59 ,,1,10615,,,,,
106.06.0932," 9/32"" X 6""   ", $8.53 , $7.25 , $3.84 , $3.46 ,,1,10616,,,,,
106.06.1032," 5/16"" X 6""   ", $9.60 , $8.16 , $4.32 , $3.89 ,,1,10617,,,,,
106.06.1232," 3/8"" X 6""   ", $11.25 , $9.56 , $5.06 , $4.55 ,,1,10618,,,,,
106.06.1632," 1/2"" X 6""   ", $13.38 , $11.37 , $6.02 , $5.42 ,,1,10619,,,,,
,,,,,,,,,,,,,
106.12.0432," 1/8"" X 12""   ", $5.82 , $4.94 , $2.62 , $2.36 ,,1,10601,,,,,
106.12.0532," 5/32"" X 12""   ", $5.82 , $4.94 , $2.62 , $2.36 ,,1,10602,,,,,
106.12.0632," 3/16"" X 12""   ", $12.28 , $10.44 , $5.53 , $4.97 ,,1,10603,,,,,
106.12.0732," 7/32"" X 12""   ", $12.28 , $10.44 , $5.53 , $4.97 ,,1,10604,,,,,
106.12.0832," 1/4"" X 12""   ", $14.54 , $12.36 , $6.54 , $5.89 ,,1,10605,,,,,
106.12.0932," 9/32"" X 12""   ", $18.58 , $15.80 , $8.36 , $7.53 ,,1,10606,,,,,
106.12.1032," 5/16"" X 12""   ", $18.58 , $15.80 , $8.36 , $7.53 ,,1,10607,,,,,
106.12.1232," 3/8"" X 12""   ", $22.46 , $19.09 , $10.11 , $9.10 ,,1,10608,,,,,
106.12.1432," 7/16"" X 12"" ", $29.09 , $24.72 , $13.09 , $11.78 ,,1,10609,,,,,
106.12.1632," 1/2"" X 12""   ", $37.17 , $31.59 , $16.72 , $15.05 ,,1,10610,,,,,
,,,,,,,,,,,,,
MAG107 - STUBBY HSS DRILL BIT,,,,,,,,,,,,,
107.0464," 1/16""   ", $0.87 , $0.74 , $0.39 , $0.35 ,,12,10720,,,,,
107.0864," 1/8""   ", $0.97 , $0.82 , $0.44 , $0.39 ,,12,10721,,,,,
107.0964," 9/64""   ", $0.97 , $0.82 , $0.44 , $0.39 ,,12,10722,,,,,
107.1074," 5/32""   ", $1.16 , $0.99 , $0.52 , $0.47 ,,12,10723,,,,,
107.1164," 11/64""   ", $1.26 , $1.07 , $0.57 , $0.51 ,,12,10724,,,,,
107.1264," 3/16""   ", $1.45 , $1.24 , $0.65 , $0.59 ,,12,10725,,,,,
107.1464," 7/32""   ", $1.84 , $1.57 , $0.83 , $0.75 ,,12,10726,,,,,
107.1664," 1/4""   ", $2.23 , $1.90 , $1.00 , $0.90 ,,12,10727,,,,,
107.1864," 9/32""   ", $3.49 , $2.97 , $1.57 , $1.41 ,,12,10728,,,,,
107.2064," 5/16""   ", $4.27 , $3.63 , $1.92 , $1.73 ,,6,10729,,,,,
107.2464," 3/8""  ", $6.40 , $5.44 , $2.88 , $2.59 ,,6,10730,,,,,
107.2864," 7/16"" ", $8.53 , $7.25 , $3.84 , $3.46 ,,6,10731,,,,,
107.3264," 1/2""   ", $11.25 , $9.56 , $5.06 , $4.55 ,,6,10732,,,,,
,,,,,,,,,,,,,
SAWS,,,,,,,,,,,,,
,,,,,,,,,,,,,
732 Reciprocating Saw Blades,,,,,,,,,,,,,
"Bi-Metal (1/2"" Shank) Blades",,,,,,,,,,,,,
                                ,L x W x T ,,,,,,TPI,,,,,,
732.123T ," 6""x3/4""x .035 ", $4.03 , $3.43 , $1.82 , $1.63 , $1.45 ,Prog,73220,,,,,
732.418T             ," 4""x5/8""x.035 ", $2.26 , $1.92 , $1.02 , $0.92 , $0.81 ,18,73205,,,,,
732.600V         ," 6""x3/4""x.050 ", $4.72 , $4.01 , $2.12 , $1.91 , $1.70 ,6V-tooth,73221,,,,,
732.610T                  ," 6"" x 3/4"" x .035 ", $3.20 , $2.72 , $1.44 , $1.30 , $1.15 ,10,73215,,,,,
732.614T                    ," 6"" x 3/4"" x .035 ", $3.20 , $2.72 , $1.44 , $1.30 , $1.15 ,14,73202,,,,,
732.618T                  ," 6"" x 3/4"" x .035 ", $3.20 , $2.72 , $1.44 , $1.30 , $1.15 ,18,73206,,,,,
732.624T                  ," 6"" x 3/4"" x .035 ", $3.20 , $2.72 , $1.44 , $1.30 , $1.15 ,24,73210,,,,,
732.810T                  ," 8"" x 3/4"" x .035 ", $4.55 , $3.87 , $2.05 , $1.84 , $1.64 ,10,73216,,,,,
732.814T                    ," 8"" x 3/4"" x .035 ", $4.55 , $3.87 , $2.05 , $1.84 , $1.64 ,14,73203,,,,,
732.818T                   ," 8"" x 3/4"" x .035 ", $4.55 , $3.87 , $2.05 , $1.84 , $1.64 ,18,73207,,,,,
732.1218T                  ," 12"" x 3/4"" x .035 ", $6.17 , $5.24 , $2.77 , $2.50 , $2.22 ,18,73208,,,,,
732.1210/14T         ," 12"" x 3/4"" x .035 ", $6.17 , $5.24 , $2.77 , $2.50 , $2.22 ,10/14,73281,,,,,
"   Priced each, sold in packs of 5 or bulk of 50, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
"732 Mag-Bit ""Salvage"" Heavy Duty Metal Cutting Demolition Blades",,,,,,,,,,,,,
732.610/14HT     ," 6"" x 3/4"" x .050"" ", $3.90 , $3.32 , $1.76 , $1.58 , $1.41 ,10/14,73222,,,,,
732.810/14HT     ," 8"" x 3/4"" x .050"" ", $6.18 , $5.25 , $2.78 , $2.50 , $2.20 ,10/14,73223,,,,,
732.818HT         ," 8"" x 3/4"" x .050"" ", $6.18 , $5.25 , $2.78 , $2.50 , $2.22 ,18,73224,,,,,
732.1210/14HT   ," 12"" x 3/4"" x .050 ", $7.74 , $6.58 , $3.48 , $3.14 , $2.79 ,10/14,73204,,,,#REF!,
"   Priced each, sold in packs of 5 or bulk of 50, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
"732 Mag-Bit ""Razer"" Heavy Duty Wood Cutting Demolition Blades",,,,,,,,,,,,,
,L x W x T,,,,,,TPI,,,,,,
732.658HVY      ," 6""x7/8"" x .063 ", $7.30 , $6.21 , $3.29 , $2.96 , $2.63 ,5/8,73268,,,,,
732.958HVY       ," 9""x7/8"" x .063 ", $8.90 , $7.56 , $4.00 , $3.60 , $3.20 ,5/8,73269,,,,,
732.1258HVY     ," 12""x7/8"" x .063 ", $13.08 , $11.12 , $5.89 , $5.30 , $4.71 ,5/8,73270,,,,,
"   Priced each, sold in packs of 5 or bulk of 25, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
732.609HVY        ," 6""x7/8"" x .062"" ", $7.30 , $6.21 , $3.29 , $2.96 , $2.63 ,9,73225,,,,,
732.909HVY        ," 9""x7/8"" x .062"" ", $8.60 , $7.31 , $3.87 , $3.48 , $3.09 ,9,73226,,,,,
"   Priced each, sold in packs of 5 or bulk of 40, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
"MAG732  Mag-Bit ""Rapid"" fast metal cutting blades",,,,,,,,,,,,,
732.68/10T             ," 6""x1"" x .043"" ", $5.32 , $4.52 , $2.39 , $2.15 , $1.91 ,8/10,73262,,,,,
732.98/10T             ," 9""x1"" x .043"" ", $7.62 , $6.48 , $3.43 , $3.09 , $2.74 ,8/10,73263,,,,,
732.128/10T           ," 12""x1"" x .043"" ", $9.51 , $8.08 , $4.28 , $3.85 , $3.42 ,8/10,73264,,,,,
,,,,,,,,,,,,,
732.614/18T         ," 6""x1"" x .043"" ", $5.32 , $4.52 , $2.39 , $2.15 , $1.91 ,14/18,73265,,,,,
732.914/18T         ," 9""x1"" x .043"" ", $7.62 , $6.48 , $3.43 , $3.09 , $2.74 ,14/18,73266,,,,,
732.1214/18T       ," 12""x1"" x .043"" ", $9.51 , $8.08 , $4.28 , $3.85 , $3.42 ,14/18,73267,,,,,
"   Priced each, sold in packs of 5 or bulk of 25, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
732 Mag-Bit Heavy Duty Wood Cutting Blades,,,,,,,,,,,,,
732.65/8T        ," 6"" x 3/4"" x  .050 ", $3.50 , $2.97 , $1.57 , $1.42 , $1.26 ,5/8,73259,,,,,
732.95/8T        ," 9"" x 3/4"" x  .050 ", $6.17 , $5.24 , $2.77 , $2.50 , $2.22 ,5/8,73260,,,,,
732.125/8T      ," 12"" x 3/4"" x .050 ", $7.34 , $6.24 , $3.30 , $2.97 , $2.64 ,5/8,73261,,,,,
"   Priced each, sold in packs of 5 or bulk of 50, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG 732 Scroll Blades ,,,,,,,,,,,,,
732.418STPI," 4""x1/4"" x .035"" ", $3.43 , $2.91 , $1.54 , $1.39 , $1.23 ,18,73227,,,,,
732.606STPI," 6""x1/2"" x .050"" ", $5.05 , $4.29 , $2.27 , $2.04 , $1.82 ,6,73228,,,,,
"   Priced each, sold in packs of 5 or bulk of 50, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG 732 GRIT,,,,,,,,,,,,,
Carbide Grit Recip Saws,,,,,,,,,,,,,
732.600CG,, $5.85 , $4.97 , $2.63 , $2.37 , $2.11 ,,73229,,,,,
732.800CG,, $6.52 , $5.54 , $2.93 , $2.64 , $2.35 ,,73223,,,,,
"   Priced each, sold in packs of 5 or bulk of 40, please specify when ordering",,,,,,,,,,,,,
,,,,,,,,,,,,,
425 Hand Hack Saw Blades,,,,,,,,,,,,,
Bi-Metal Blades,,,,,,,,,,,,,
425.1214,"12"" OAL", $2.50 , $2.13 , $1.13 , $1.01 ,,14,42509,,,,,
425.1218,"12"" OAL", $2.50 , $2.13 , $1.13 , $1.01 ,,18,42503,,,,,
425.1224,"12"" OAL", $2.50 , $2.13 , $1.13 , $1.01 ,,24,42504,,,,,
425.1232,"12"" OAL", $2.50 , $2.13 , $1.13 , $1.01 ,,32,42505,,,,,
"   Priced each, sold in packs of 10",,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG425 Mini Hack Saw Blades,,,,,,,,,,,,,
425.532T, Mini Hack Saw Blade , $1.79 , $1.53 , $0.81 , $0.73 ,,,42508,,,,,
"   Priced each, sold in packs of 5",,,,,,,,,,,,,
,,,,,,,,,,,,,
MAG800 Heavy Duty PVC Saw Blades,,,,,,,,,,,,,
