,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date: 05/13/22,,,,,CUSTOMER PRICE BOOK,,,,,,,,,,,,,,,
M & M ELECTRICAL SUPPLY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Item Category Code,Item No.,,UPC Code,Description,,Price/E,List Price/E,Item Multipl. Group,,,Master Qty,Inner Qty,,,,,,,,
BX-FLEX-MC,103MI,,751338105317,"1""FLEX.90DEG.MAL.INS.CONN.5/50-PK",,11.7063,31.6386,FLXCNM90,,,50,5,,,,,,,,
BX-FLEX-MC,104,,751338103801,"1-1/4""FLEX 90DEG CONN 10/40PK",,9.2622,25.0331,FLXCN90,,,40,10,,,,,,,,
PVC,1040,,751338230347,"4"" PVC MALE ADAPTER 20-PK",,4.2942,11.4512,PVC,,,20,20,,,,,,,,
PVC,1040A,,751338230354,"5"" PVC MALE ADAPTER 10-PK",,10.9742,29.2645,PVC,,,10,10,,,,,,,,
PVC,1040B,,751338230361,"6"" PVC MALE ADAPTER 8-PK",,13.1495,35.0652,PVC,,,8,8,,,,,,,,
PVC,1041,,751338230385,"1/2"" PVC  90DEG.ELBOW PLAIN END 50-PK",,0.8960,2.3892,PVC,,,50,50,,,,,,,,
PVC,104180,,751338852976,"1/2"" PVC  90DEG ELBOW SCH 80 PLAIN END 50-PK",,2.6719,7.1250,PVC,,,50,50,,,,,,,,
PVC,1042,,751338230392,3/4' PVC 90DEG ELBOW PLAIN END 35-PK,,1.2068,3.2182,PVC,,,35,35,,,,,,,,
PVC,104280,,751338852983,3/4' PVC 90DEG ELBOW  SCH 80 PLAIN END 35PK,,3.2182,8.5818,PVC,,,35,35,,,,,,,,
PVC,1043,,751338234048,"1"" PVC 90DEG ELBOW PLAIN END 20-PK",,1.8299,4.8797,PVC,,,20,20,,,,,,,,
PVC,104380,,751338852990,"1"" PVC 90DEG ELBOW  SCH 80 PLAIN END 20PK",,4.7877,12.7673,PVC,,,20,20,,,,,,,,
PVC,1044,,751338230415,"1-1/4"" PVC 90DEG ELBOW PLAIN END 30PK",,2.2897,6.1059,PVC,,,30,30,,,,,,,,
PVC,104422,,751338868991,"1-1/4"" PVC 22-1/2 DEG  ELBOW PLAIN END-25 PK",,2.2016,5.8710,PVC,,,25,1,,,,,,,,
PVC,104480,,751338853003,"1-1/4"" PVC 90DEG ELBOW SCH 80 PLAIN END 30PK",,6.7606,18.0282,PVC,,,30,30,,,,,,,,
PVC,1045,,751338230422,"1-1/2"" PVC 90DEG ELBOW PLAIN END 30-PK",,3.2823,8.7529,PVC,,,30,30,,,,,,,,
PVC,104580,,751338851122,"1-1/2"" PVC 90DEG ELBOW SCH 80 PLAIN END 25PK",,10.2536,27.3430,PVC,,,25,1,,,,,,,,
PVC,1046,,751338230439,"2"" PVC 90DEG ELBOW PLAIN END 15-PK",,4.1032,10.9418,PVC,,,15,15,,,,,,,,
PVC,104622,,751338868960,"2"" PVC 22-1/2 DEG  ELBOW PLAIN END 15-PK",,3.5044,9.3451,PVC,,,15,1,,,,,,,,
PVC,104680,,751338853010,"2"" PVC 90DEG ELB  SCH 80 PLAIN END-15-PK",,16.3055,43.4812,PVC,,,15,15,,,,,,,,
PVC,1047,,751338230446,"2-1/2"" PVC 90DEG ELBOW PLAIN END 18-PK",,7.5479,20.1276,PVC,,,18,18,,,,,,,,
PVC,104722,,751338868427,"2-1/2""x22-1/2 DEG PVC ELBOW PLAIN END",,16.4527,43.8739,PVC,,,70,1,,,,,,,,
PVC,104780,,751338853027,"2-1/2"" PVC 90DEG ELB SCH 80 PLAIN END 18PK",,22.5962,60.2565,PVC,,,18,18,,,,,,,,
PVC,1048,,751338230453,"3"" PVC 90DEG ELBOW PLAIN END 14-PK",,12.8558,34.2822,PVC,,,14,14,,,,,,,,
PVC,104822,,751338863590,"3""X22-1/2  DEG PVC ELBOW PLAIN END 8PK",,16.4527,43.8739,PVC,,,8,8,,,,,,,,
PVC,104822B,,751338868472,"3""X22-1/2""X36 PVC 90DEG ELB BELL END",,33.2218,88.5915,PVC,,,140,1,,,,,,,,
PVC,104880,,751338836891,"3"" PVC 90 DEG ELBOW SCH 80 PLAIN END 10-PK",,33.7116,89.8976,PVC,,,10,1,,,,,,,,
PVC,1049,,751338230460,"3-1/2"" PVC 90DEG ELBOW PLAIN END 12-PK",,19.7656,52.7082,PVC,,,12,12,,,,,,,,
BX-FLEX-MC,104I,,751338103818,"1-1/4""FLEX 90DEG CON INS10/40",,10.9447,29.5802,FLXCN90,,,40,10,,,,,,,,
BX-FLEX-MC,104M,,751338105409,"1-1/4"" FLEX 90 MAL 5/20-PK",,14.2875,38.6149,FLXCNM90,,,20,5,,,,,,,,
BX-FLEX-MC,104MI,,751338105416,"1-1/4""FLEX 90DEG.MAL.INS.CONN.5/50PK",,17.8598,48.2696,FLXCNM90,,,50,5,,,,,,,,
BX-FLEX-MC,105,,751338103900,"1-1/2"" FLEX 90DEG CONN 5-PK",,18.5588,50.1590,FLXCN90,,,5,5,,,,,,,,
PVC,1050,,751338230477,"4"" PVC 90DEG ELBOW PLAIN END 10-PK",,21.7944,58.1183,PVC,,,10,10,,,,,,,,
PVC,105022,,751338868564,"4"" PVC SCHED 40 22-1/2 DEG PLAIN END",,23.6919,63.1784,PVC,,,8,1,,,,,,,,
PVC,105080,,751338853041,"4"" PVC 90DEG ELBOW SCH 80 PLAIN END 10PK",,71.0757,189.5353,PVC,,,10,10,,,,,,,,
PVC,1050A,,751338230484,"5"" PVC 90DEG ELBOW PLAIN END 30PK",,51.4628,137.2342,PVC,,,30,30,,,,,,,,
PVC,1050A80,,751338854154," 5"" PVC 90DEG ELBOW SCH 80 PLAIN END",,167.8176,447.5137,PVC,,,1,1,,,,,,,,
PVC,1050B,,751338230491,"6"" PVC 90DEG ELBOW PLAIN END 25-PK",,87.2136,232.5696,PVC,,,25,25,,,,,,,,
PVC,1050B80,,751338854161,"6"" PVC 90DEG ELBOW SCH 80 PLAIN END",,207.3042,552.8111,PVC,,,1,1,,,,,,,,
PVC,1051,,751338230514,"1/2"" PVC 45DEG ELBOW PLAIN END 50-PK",,0.9610,2.5627,PVC,,,50,50,,,,,,,,
PVC,105180,,751338863859,"1/2"" PVC 45DEG ELBOW SCH 80 PLAIN END 50-PK",,1.3574,3.6196,PVC,,,50,0,,,,,,,,
PVC,1052,,751338230521,"3/4"" PVC 45DEG ELBOW PLAIN END 25-PK",,1.1342,3.0244,PVC,,,25,25,,,,,,,,
PVC,105280,,751338854130,"3/4"" PVC 45DEG ELBOW SCH 80 PLAIN END- 25-PK",,2.6620,7.0987,PVC,,,25,25,,,,,,,,
PVC,1053,,751338230538,"1"" PVC  45DEG ELBOW PLAIN END 20-PK",,1.8040,4.8106,PVC,,,20,20,,,,,,,,
PVC,105380,,751338863866,"1"" PVC 45DEG ELBOW SCH 80 PLAIN END 25-PK",,3.0849,8.2264,PVC,,,25,1,,,,,,,,
PVC,1054,,751338230545,"1-1/4"" PVC 45DEG ELBOW PLAIN END 25-PK",,2.6108,6.9620,PVC,,,25,25,,,,,,,,
PVC,105480,,751338863873,"1-1/4"" PVC 45DEG ELBOW SCH 80 PLAIN END 25-PK",,7.2469,19.3250,PVC,,,25,0,,,,,,,,
PVC,1055,,751338230552,"1-1/2"" PVC 45DEG ELBOW PLAIN END 20-PK",,3.3719,8.9916,PVC,,,20,20,,,,,,,,
PVC,105580,,751338863880,"1-1/2"" PVC 45DEG ELBOW SCH 80 PLAIN END-25-PK",,7.1158,18.9754,PVC,,,25,1,,,,,,,,
PVC,1056,,751338230569,"2"" PVC 45DEG ELBOW PLAIN END 10-PK",,4.7876,12.7668,PVC,,,10,10,,,,,,,,
PVC,105680,,751338853836,"2"" PVC 45DEG ELBOW SCH 80 PLAIN END 10-PK",,12.5271,33.4056,PVC,,,10,10,,,,,,,,
PVC,1057,,751338230576,"2-1/2"" PVC 45DEG ELBOW PLAIN END 20-PK",,7.6482,20.3952,PVC,,,20,20,,,,,,,,
PVC,105780,,751338853843,"2-1/2"" PVC 45DEG ELBOW SCH 80 PLAIN END- 20-PK",,21.0858,56.2288,PVC,,,20,20,,,,,,,,
