,,,,,,,,,,,,,,,,,
"Ordering
Number",Model No. Reference,Description,FX UL Rating,UPC Code,Master Ctn Qty,Pallet Qty,"E3
Opening Price - NEW","E3
Qty 1 - NEW","E3
Qty 2 - NEW",,,,,,,,
,,,,,,,,,,,,,,,,,
Smoke Alarms,,,,,,,,,,,,,,,,,
120V AC/DC,,,,,,,1-287,288-755,756 +,,,,,,,,
21010047,C3010D,"DC CO, Digital, Ten Year Sealed (Clam)",,0 47871 10047 7,3,333, $44.06 , $43.55 , $43.04 ,,,,,,,,
21026350,KN-COP-DP-10YL,"AC/DC CO, Plug-in - Ten Year Sealed Backup - Dig. Disp. (900-0280)",-,0 47871 26350 9,3,225, $43.72 , $43.21 , $42.70 ,,,,,,,,
21026359,KN-COP-DP-10YB,"AC/DC CO, Plug-in - Ten Year Sealed Backup - Dig. Disp. - Voice (900-0282)",-,0 47871 26359 2,3,180, $46.35 , $45.81 , $45.27 ,,,,,,,,
21026365,KN-COP-DP-10YH,"AC/DC CO, Plug-in - Ten Year Sealed Backup - Dig. Disp. - Exit Light (900-0284)",-,0 47871 26365 3,3,225, $48.09 , $47.53 , $46.97 ,,,,,,,,
21026354,KN-COP-DP-10YL,"AC/DC CO, Plug-in - Ten Year Sealed Backup - Dig. Disp. - Peak Level",-,0 47871 26354 7,36,648, $41.00 , $40.52 , $40.05 ,,,,,,,,
21026385,KN-COP-DP-10YL,"AC/DC CO, Plug-in - Ten Year Sealed Backup - Digital Display - CSA Listed",-,0 47871 26385 1,36,648, $49.55 , $48.97 , $48.39 ,,,,,,,,
WireFree Ten Year Sealed Battery Smoke and Combination Alarms,,,,,,,1-287,288-755,756 +,,,,,,,,
21027311,P4010DCSCO-W,"DC Wireless Combo CO/Smoke, Photo, Ten Year",-,0-47871-27311-9,2,272, $55.16 , $54.52 , $53.88 ,79.85,,,,,,,
21027314,P4010LDCS-W,"DC Wireless Smoke w/Light, Photo, Ten Year",-,0-47871-27314-0,2,272, $39.94 , $39.48 , $39.02 ,,,,,,,,
21027308,P4010DCS-W,"DC Wireless Smoke, Photo, Ten Year",-,0-47871-27308-9,2,272, $34.36 , $33.96 , $33.56 ,55.95,,,,,,,
21027323,P4010ACSCO-W,"120V AC/DC Wireless Combo CO/Smoke, Photo, Ten Year",-,0-47871-27323-2,2,272, $61.09 , $60.38 , $59.66 ,88.65,,,,,,,
21027326,P4010LACS-W,"120V AC/DC Wireless Smoke w/Light, Photo, Ten Year",-,0-47871-27326-3,2,272, $41.99 , $41.51 , $41.01 ,,,,,,,,
21027320,P4010ACS-W,"120V AC/DC Wireless Smoke, Photo, Ten Year",-,0-47871-27320-1,2,272, $38.17 , $37.73 , $37.29 ,59.65,,,,,,,
,,,,,,,,,,,,,,,,,
Carbon Monoxide Alarms,,,,,,,,,,,,,,,,,
Combination CO/Smoke Alarms,,,,,,,1-287,288-755,756 +,,,,,,,,
21006377-N,KN-COSM-IBA,"AC/DC Wire-In Intelligent Ion Smoke/CO Alarm,Frt Load Battery, Voice (900-0114A)",-,0 47871 16377 9,6,756, $28.66 , $28.66 , $28.66 ,44.85,43.75,42.95,,,,,
21007624/21010333,KN-COPE-IC,AC/DC Wire-In Photoelectric Smoke/CO Alarm - Voice Warning (900-0123),-,0 47871 07624 6,6,756, $38.59 , $38.59 , $38.59 ,57.85,,,,,,,
21027445,KN-COPE-D,DC Photoelectric Smoke/CO Alarm - Voice Warning (CP9000),-,0 47871 10031 6,4,216, $39.14 , $38.69 , $38.23 ,,,,,,,,
900-0102-02,KN-COSM-BA,"DC CO/Smoke Alarm, Frt Load Battery, Voice Warning (900-0102A)",-,7 84908 01020 9,3,333, $35.34 , $34.93 , $34.52 ,,,,,,,,
21007450,KN-COSM-XRT-BA,"DC Intelligent CO/Smoke Alarm, Frt Load Battery, Voice Warning (900-0216A) Clamshell",-,0 47871 07450 1,4,300, $41.64 , $41.16 , $40.67 ,,,,,,,,
Carbon Monoxide Alarms,,,,,,,1-287,288-755,756 +,,,,,,,,
21007426,KN-COPF-i,120V AC CO Alarm w/sealed lithium re-chargable battery - Low Profile,-,0 47871 07426 6,6,1176, $61.33 , $57.24 , $53.15 ,,,,,,,,
21006406,KN-COB-IC,AC/DC wire-in w/ Battery Backup - interconnectable,-,0 47871 00120 0,6,756, $24.65 , $24.65 , $24.65 ,,,,,,,,
21006407,KN-COP-IC,AC/DC wire-in - Digital Display - Interconnect,-,0 47871 00121 7,6,756, $45.13 , $44.60 , $44.08 ,,,,,,,,
900-0076-01,KN-COPP-3,AC/DC Plug-in - 9V backup - Digital Display - Peak Level,-,7 84908 00760 5,2,222, $39.27 , $38.82 , $38.36 ,,,,,,,,
900-0113-02,KN-COEG-3,AC/DC Plug-in - Multi-hazard - CO/Methane/Propane,-,7 84908 01130 5,2,222, $38.28 , $37.84 , $37.40 ,,,,,,,,
21026344,KN-COP-DP-B,"AC/DC Plug-in - 9V Backup - Digital Display, Clamshell (900-0278)",-,0 47871 26344 8,4,240, $39.18 , $38.72 , $38.26 ,,,,,,,,
21025759,KN-COB-DP2,AC/DC - Plug-in w/ Battery Backup - Theft-Deterrent - PDQ 2pk (900-0263),-,0 47871 25759 1,2,222, $24.60 , $24.32 , $24.02 ,,,,,,,,
21025763,KN-COB-DP2,AC/DC Plug-in - w/ Battery Backup - No display - Clamshell (900-0263),-,0 47871 25759 1,4,240, $24.60 , $24.32 , $24.02 ,,,,,,,,
21025772,KN-COB-DP2,"AC/DC Plug-in - w/ Battery Backup - No display, 6pk carton (900-0263)",-,0 47871 25772 0,6,1260, $24.60 , $24.32 , $24.02 ,,,,,,,,
21009942,KN-COU-B,"DC Ultrasensitive CO Monitor, Boxed",-,0 47871 09942 9,6,, $36.75 , $36.32 , $35.89 ,,,,,,,,
21007267,KN-COPP-B-LS,Nighthawk Battery Operated - Digital Display - Clamshell,-,0 47871 07267 5,4,300, $26.51 , $26.20 , $25.89 ,,,,,,,,
