"MFR
No",Item,"Catalog
No",DESCRIPTION,"Quantity
Standard Pkg","Unit
Measure",DIST PRICE,TRADE PRICE,,,,
780730,10515,515,"1"" EMT PLASTIC BUSHING",100,C,$19.44,$38.88 ,,,,
780730,10516,516,"1 1/4"" EMT PLASTIC BUSHING",50,C,$35.64,$71.28 ,,,,
780730,10517,517,"1 1/2"" EMT BUSHING",50,C,$43.20,$86.40 ,,,,
780730,10518,518,"2"" EMT PLASTIC BUSHING",50,C,$64.80,$129.60 ,,,,
780730,10519,519,"2 1/2"" EMT PLASTIC BUSHING",50,C,$156.60,$313.20 ,,,,
780730,10520,520,"3"" EMT PLASTIC BUSHING",50,C,$178.20,$356.40 ,,,,
780730,10521,521,"3 1/2"" EMT PLASTIC BUSHING",50,C,$189.00,$378.00 ,,,,
780730,10522,522,"4"" EMT PLASTIC BUSHING",50,C,$199.80,$399.60 ,,,,
780730,10525,525,"0-B 1/2"" CONDUIT HANGER",100,C,$22.65,$45.30 ,,,,
780730,10526,526,"1-B 3/4"" CONDUIT HANGER",50,C,$24.99,$49.98 ,,,,
780730,10527,527,"2-B 1"" CONDUIT HANGER",50,C,$27.35,$54.70 ,,,,
780730,10528,528,"2 1/2"" -B  1 1/4"" EMT CONDUIT HANGER",50,C,$31.68,$63.36 ,,,,
780730,10529,529,"3-B 1 1/4""RIGID 1 1/2"" EMT CONDUIT HANGER",50,C,$33.36,$66.72 ,,,,
780730,10530,530,"4-B 1 1/2"" RIGID CONDUIT HANGER",50,C,$48.48,$96.96 ,,,,
780730,10531,531,"5-B 2"" CONDUIT HANGER",25,C,$54.54,$109.08 ,,,,
780730,10532,532,"6-B 2 1/2"" CONDUIT HANGER",25,C,$81.05,$162.10 ,,,,
780730,10533,533,"7-B  3"" CONDUIT HANGER",25,C,$103.70,$207.40 ,,,,
780730,10534,534,"8-B 3 1/2"" CONDUIT HANGER",20,C,$104.99,$209.98 ,,,,
780730,10535,535,"9-B 4"" CONDUIT HANGER",20,C,$118.80,$237.60 ,,,,
780730,10551,551,"1/2"" RIGID STEEL ONE HOLE STRAP",100,C,$9.89,$19.78 ,,,,
780730,10552,552,"3/4"" RIGID STEEL ONE HOLE STRAP",100,C,$12.65,$25.30 ,,,,
780730,10553,553,"1"" RIGID STEEL ONE HOLE STRAP",50,C,$16.50,$33.00 ,,,,
780730,10554,554,"1 1/4"" RIGID STEEL ONE HOLE STRAP",50,C,$21.34,$42.68 ,,,,
780730,10555,555,"1 1/2"" RIGID STEEL ONE HOLE STRAP",50,C,$31.95,$63.90 ,,,,
780730,10556,556,"2 "" RIGID STEEL ONE HOLE STRAP",50,C,$40.65,$81.30 ,,,,
780730,10557,557,"2 1/2"" EMT/RIGID STEEL ONE HOLE STRAP",25,C,$96.14,$192.28 ,,,,
780730,10558,558,"3"" EMT /RIGID STEEL ONE HOLE STRAP",25,C,$114.55,$229.10 ,,,,
780730,10559,559,"3 1/2"" EMT /RIGID  STEEL ONE HOLE STRAP",20,C,$177.96,$355.92 ,,,,
780730,10560,560,"4"" EMT/RIGID STEEL ONE HOLE STRAP",20,C,$204.56,$409.12 ,,,,
780730,00575,575,"3/8 A/C 1/4"" RIGID ONE HOLE STEELSTRAP",100,C,$4.18,$8.36 ,,,,
780730,10576,576,"1/2"" EMT STEEL ONE HOLE STRAP HEAVY DUTY",100,C,$6.21,$12.42 ,,,,
780730,10577,577,"1/2"" EMT STEEL ONE HOLE STRAP ",100,C,$4.43,$8.86 ,,,,
780730,10578,578,"3/4"" EMT STEEL ONE HOLE STRAP",100,C,$9.01,$18.02 ,,,,
780730,10579,579,"1"" EMT STEEL ONE HOLE STRAP",100,C,$13.59,$27.18 ,,,,
780730,10580,580,"1 1/4"" EMT STEEL ONE HOLE STRAP",50,C,$25.61,$51.22 ,,,,
780730,10581,581,"1 1/2"" EMT STEEL ONE HOLE STRAP",50,C,$30.56,$61.12 ,,,,
780730,10582,582,"2"" EMT STEEL ONE HOLE STRAP",50,C,$36.01,$72.02 ,,,,
780730,10601,601,"1/2""  EMT 2 HOLE STRAP",100,C,$5.05,$10.10 ,,,,
780730,10602,602,"3/4"" EMT 2 HOLE STRAP",100,C,$6.49,$12.98 ,,,,
780730,10603,603,"1"" EMT 2 HOLE STRAP",50,C,$8.74,$17.48 ,,,,
780730,10604,604,"1 1/4"" EMT 2 HOLE SRAP",50,C,$14.53,$29.06 ,,,,
