Customer:,,,,,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
Account Number:,,,,,,,,,,,,,,,,,,,,,
Agreement Number:,,,,,P51214A,,,,,,,,,,,,,,,,
Effective Date:,,,,,8/1/2022,,,,,,,,,,,,,,,,
x,,,,,Price shown in Column K is the Net Price after SPA discount per each. ,,,,,,,,,,,,,,,,
x,,,,,"Net price calculated using VPG discount off price sheet in effect.  Net prices expire with the cancellation date of the August 1, 2022 price sheet.",,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
Catalog No.,Stock,Shelf Ctn.,Breakable,UPC #,VPG,VPG % Disc, Net Dist. Price ,Calculated,Rounded SPA Price,Distributor Net Price Per Each,Product Description,,,,,,,,,,
LENRK450I,N,1,Never,782634990307,EY,50.00%, $443.48 , $221.7400 ,$221.74 ,$221.74 ,INDICATING FUSE,,,,,,,,,,
LENRK45I,N,10,Never,782634990130,EY,50.00%, $33.91 , $16.9550 ,$16.96 ,$16.96 ,INDICATING FUSE,,,,,,,,,,
LENRK5,N,10,Never,782634538233,EY,50.00%, $22.45 , $11.2250 ,$11.23 ,$11.23 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK5.6,N,10,Never,782634538240,EY,50.00%, $28.62 , $14.3100 ,$14.31 ,$14.31 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK50,N,10,Never,782634538400,EY,50.00%, $28.08 , $14.0400 ,$14.04 ,$14.04 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK500,N,1,Never,782634538578,EY,50.00%, $406.94 , $203.4700 ,$203.47 ,$203.47 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK500I,N,1,Never,782634990314,EY,50.00%, $445.31 , $222.6550 ,$222.66 ,$222.66 ,INDICATING FUSE,,,,,,,,,,
LENRK50I,N,10,Never,782634990147,EY,50.00%, $33.91 , $16.9550 ,$16.96 ,$16.96 ,INDICATING FUSE,,,,,,,,,,
LENRK6,N,10,Never,782634538257,EY,50.00%, $23.49 , $11.7450 ,$11.75 ,$11.75 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK6.25,N,10,Never,782634538264,EY,50.00%, $24.95 , $12.4750 ,$12.48 ,$12.48 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK60,S,10,Never,782634538417,EY,50.00%, $28.08 , $14.0400 ,$14.04 ,$14.04 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK600,S,1,Never,782634538585,EY,50.00%, $406.94 , $203.4700 ,$203.47 ,$203.47 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK600I,N,1,Never,782634990321,EY,50.00%, $442.49 , $221.2450 ,$221.25 ,$221.25 ,INDICATING FUSE,,,,,,,,,,
LENRK60I,N,10,Never,782634990154,EY,50.00%, $33.91 , $16.9550 ,$16.96 ,$16.96 ,INDICATING FUSE,,,,,,,,,,
LENRK70,N,5,Never,782634538424,EY,50.00%, $57.24 , $28.6200 ,$28.62 ,$28.62 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK70I,N,5,Never,782634990161,EY,50.00%, $73.80 , $36.9000 ,$36.90 ,$36.90 ,INDICATING FUSE,,,,,,,,,,
LENRK8,N,10,Never,782634538288,EY,50.00%, $21.44 , $10.7200 ,$10.72 ,$10.72 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK80,N,5,Never,782634538431,EY,50.00%, $57.24 , $28.6200 ,$28.62 ,$28.62 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK80I,N,5,Never,782634990178,EY,50.00%, $73.80 , $36.9000 ,$36.90 ,$36.90 ,INDICATING FUSE,,,,,,,,,,
LENRK9,N,10,Never,782634538295,EY,50.00%, $24.30 , $12.1500 ,$12.15 ,$12.15 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK90,N,5,Never,782634538448,EY,50.00%, $59.98 , $29.9900 ,$29.99 ,$29.99 ,UL CLASS RK1 TIME DELAY 2,,,,,,,,,,
LENRK90I,N,5,Never,782634990185,EY,50.00%, $67.84 , $33.9200 ,$33.92 ,$33.92 ,INDICATING FUSE,,,,,,,,,,
LESRK.5,N,10,Never,782634548058,BR,50.00%, $51.24 , $25.6200 ,$25.62 ,$25.62 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK.6,N,10,Never,782634548607,BR,50.00%, $51.24 , $25.6200 ,$25.62 ,$25.62 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK.8,N,1,Never,782634548591,BR,50.00%, $51.24 , $25.6200 ,$25.62 ,$25.62 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK1,N,10,Never,782634548089,BR,50.00%, $42.89 , $21.4450 ,$21.45 ,$21.45 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK1.125,N,10,Never,782634548096,BR,50.00%, $52.25 , $26.1250 ,$26.13 ,$26.13 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK1.25,N,10,Never,782634548102,BR,50.00%, $43.42 , $21.7100 ,$21.71 ,$21.71 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK1.4,N,10,Never,782634548621,BR,50.00%, $52.25 , $26.1250 ,$26.13 ,$26.13 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK1.5,N,10,Never,782634512851,BR,50.00%, $48.55 , $24.2750 ,$24.28 ,$24.28 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK1.6,N,10,Never,782634548126,BR,50.00%, $42.89 , $21.4450 ,$21.45 ,$21.45 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK1.8,N,10,Never,782634548614,BR,50.00%, $48.55 , $24.2750 ,$24.28 ,$24.28 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK10,N,10,Never,782634548300,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK100,S,1,Never,782634548454,BR,50.00%, $109.04 , $54.5200 ,$54.52 ,$54.52 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK100I,N,1,Never,782634990536,EY,50.00%, $123.70 , $61.8500 ,$61.85 ,$61.85 ,INDICATING FUSE,,,,,,,,,,
LESRK10I,N,10,Never,782634990383,EY,50.00%, $43.05 , $21.5250 ,$21.53 ,$21.53 ,INDICATING FUSE,,,,,,,,,,
LESRK110,N,1,Never,782634548461,BR,50.00%, $251.46 , $125.7300 ,$125.73 ,$125.73 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK110I,N,1,Never,782634990543,EY,50.00%, $274.12 , $137.0600 ,$137.06 ,$137.06 ,INDICATING FUSE,,,,,,,,,,
LESRK12,N,10,Never,782634548317,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK125,N,1,Never,782634548478,BR,50.00%, $251.46 , $125.7300 ,$125.73 ,$125.73 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK125I,N,5,Never,782634990550,EY,50.00%, $274.12 , $137.0600 ,$137.06 ,$137.06 ,INDICATING FUSE,,,,,,,,,,
LESRK12I,N,10,Never,782634990390,EY,50.00%, $43.86 , $21.9300 ,$21.93 ,$21.93 ,INDICATING FUSE,,,,,,,,,,
LESRK15,N,10,Never,782634548324,BR,50.00%, $35.31 , $17.6550 ,$17.66 ,$17.66 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK150,N,1,Never,782634548485,BR,50.00%, $251.46 , $125.7300 ,$125.73 ,$125.73 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK150I,N,5,Never,782634990567,EY,50.00%, $274.12 , $137.0600 ,$137.06 ,$137.06 ,INDICATING FUSE,,,,,,,,,,
LESRK15I,N,10,Never,782634990406,EY,50.00%, $40.61 , $20.3050 ,$20.31 ,$20.31 ,INDICATING FUSE,,,,,,,,,,
LESRK17.5,N,10,Never,782634548331,BR,50.00%, $35.31 , $17.6550 ,$17.66 ,$17.66 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK17.5I,N,10,Never,782634990413,EY,50.00%, $41.78 , $20.8900 ,$20.89 ,$20.89 ,INDICATING FUSE,,,,,,,,,,
LESRK175,N,1,Never,782634548492,BR,50.00%, $251.46 , $125.7300 ,$125.73 ,$125.73 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK175I,N,1,Never,782634990574,EY,50.00%, $274.12 , $137.0600 ,$137.06 ,$137.06 ,INDICATING FUSE,,,,,,,,,,
LESRK2,N,10,Never,782634548140,BR,50.00%, $40.82 , $20.4100 ,$20.41 ,$20.41 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK2.25,N,10,Never,782634548157,BR,50.00%, $43.42 , $21.7100 ,$21.71 ,$21.71 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK2.5,N,10,Never,782634548164,BR,50.00%, $42.89 , $21.4450 ,$21.45 ,$21.45 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK2.8,N,10,Never,782634548171,BR,50.00%, $45.27 , $22.6350 ,$22.64 ,$22.64 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK20,S,10,Never,782634548348,BR,50.00%, $35.31 , $17.6550 ,$17.66 ,$17.66 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK200,S,1,Never,782634548508,BR,50.00%, $251.46 , $125.7300 ,$125.73 ,$125.73 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK200I,N,1,Never,782634990581,EY,50.00%, $274.12 , $137.0600 ,$137.06 ,$137.06 ,INDICATING FUSE,,,,,,,,,,
LESRK20I,N,10,Never,782634990420,EY,50.00%, $40.61 , $20.3050 ,$20.31 ,$20.31 ,INDICATING FUSE,,,,,,,,,,
LESRK225,N,1,Never,782634548515,BR,50.00%, $503.44 , $251.7200 ,$251.72 ,$251.72 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK225I,N,1,Never,782634990598,EY,50.00%, $548.67 , $274.3350 ,$274.34 ,$274.34 ,INDICATING FUSE,,,,,,,,,,
LESRK25,S,10,Never,782634548355,BR,50.00%, $35.31 , $17.6550 ,$17.66 ,$17.66 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK250,N,1,Never,782634548522,BR,50.00%, $503.44 , $251.7200 ,$251.72 ,$251.72 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK250I,N,1,Never,782634990604,EY,50.00%, $548.67 , $274.3350 ,$274.34 ,$274.34 ,INDICATING FUSE,,,,,,,,,,
LESRK25I,N,10,Never,782634990437,EY,50.00%, $41.78 , $20.8900 ,$20.89 ,$20.89 ,INDICATING FUSE,,,,,,,,,,
LESRK3,N,10,Never,782634548188,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK3.2,N,10,Never,782634548195,BR,50.00%, $39.85 , $19.9250 ,$19.93 ,$19.93 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK3.5,N,10,Never,782634548201,BR,50.00%, $39.85 , $19.9250 ,$19.93 ,$19.93 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK30,S,10,Never,782634548362,BR,50.00%, $35.31 , $17.6550 ,$17.66 ,$17.66 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK300,N,1,Never,782634548539,BR,50.00%, $503.44 , $251.7200 ,$251.72 ,$251.72 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK300I,N,1,Never,782634990611,EY,50.00%, $548.67 , $274.3350 ,$274.34 ,$274.34 ,INDICATING FUSE,,,,,,,,,,
LESRK30I,N,10,Never,782634990444,EY,50.00%, $41.78 , $20.8900 ,$20.89 ,$20.89 ,INDICATING FUSE,,,,,,,,,,
LESRK35,N,10,Never,782634548379,BR,50.00%, $49.90 , $24.9500 ,$24.95 ,$24.95 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK350,N,1,Never,782634548546,BR,50.00%, $503.44 , $251.7200 ,$251.72 ,$251.72 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK350I,N,1,Never,782634990628,EY,50.00%, $548.67 , $274.3350 ,$274.34 ,$274.34 ,INDICATING FUSE,,,,,,,,,,
LESRK35I,N,10,Never,782634990451,EY,50.00%, $63.40 , $31.7000 ,$31.70 ,$31.70 ,INDICATING FUSE,,,,,,,,,,
LESRK4,N,10,Never,782634548218,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK4.5,N,10,Never,782634548225,BR,50.00%, $42.89 , $21.4450 ,$21.45 ,$21.45 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK40,S,10,Never,782634548386,BR,50.00%, $49.90 , $24.9500 ,$24.95 ,$24.95 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK400,S,1,Never,782634548553,BR,50.00%, $503.44 , $251.7200 ,$251.72 ,$251.72 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK400I,N,1,Never,782634990635,EY,50.00%, $548.67 , $274.3350 ,$274.34 ,$274.34 ,INDICATING FUSE,,,,,,,,,,
LESRK40I,N,10,Never,782634990468,EY,50.00%, $63.40 , $31.7000 ,$31.70 ,$31.70 ,INDICATING FUSE,,,,,,,,,,
LESRK45,N,10,Never,782634548393,BR,50.00%, $49.90 , $24.9500 ,$24.95 ,$24.95 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK450,N,1,Never,782634548560,BR,50.00%, $736.60 , $368.3000 ,$368.30 ,$368.30 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK450I,N,1,Never,782634990642,EY,50.00%, $781.50 , $390.7500 ,$390.75 ,$390.75 ,INDICATING FUSE,,,,,,,,,,
LESRK45I,N,10,Never,782634990475,EY,50.00%, $63.40 , $31.7000 ,$31.70 ,$31.70 ,INDICATING FUSE,,,,,,,,,,
LESRK5,S,10,Never,782634548232,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK5.6,N,10,Never,782634548249,BR,50.00%, $42.89 , $21.4450 ,$21.45 ,$21.45 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK50,S,10,Never,782634548409,BR,50.00%, $49.90 , $24.9500 ,$24.95 ,$24.95 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK500,N,1,Never,782634548577,BR,50.00%, $736.60 , $368.3000 ,$368.30 ,$368.30 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK500I,N,1,Never,782634990659,EY,50.00%, $781.50 , $390.7500 ,$390.75 ,$390.75 ,INDICATING FUSE,,,,,,,,,,
LESRK50I,N,10,Never,782634990482,EY,50.00%, $63.40 , $31.7000 ,$31.70 ,$31.70 ,INDICATING FUSE,,,,,,,,,,
LESRK6,N,10,Never,782634548256,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK6.25,N,10,Never,782634548263,BR,50.00%, $39.85 , $19.9250 ,$19.93 ,$19.93 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK6.25I,N,10,Never,782634990345,EY,50.00%, $45.33 , $22.6650 ,$22.67 ,$22.67 ,INDICATING FUSE,,,,,,,,,,
LESRK60,S,10,Never,782634548416,BR,50.00%, $52.30 , $26.1500 ,$26.15 ,$26.15 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK600,S,1,Never,782634548584,BR,50.00%, $736.60 , $368.3000 ,$368.30 ,$368.30 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK600I,N,1,Never,782634990666,EY,50.00%, $781.50 , $390.7500 ,$390.75 ,$390.75 ,INDICATING FUSE,,,,,,,,,,
LESRK60I,N,10,Never,782634990499,EY,50.00%, $63.40 , $31.7000 ,$31.70 ,$31.70 ,INDICATING FUSE,,,,,,,,,,
LESRK6I,N,10,Never,782634990338,EY,50.00%, $43.05 , $21.5250 ,$21.53 ,$21.53 ,INDICATING FUSE,,,,,,,,,,
LESRK7,N,10,Never,782634548270,BR,50.00%, $39.85 , $19.9250 ,$19.93 ,$19.93 ,RK1 600V TIME-DELAY FUSE,,,,,,,,,,
LESRK70,N,5,Never,782634548423,BR,50.00%, $109.04 , $54.5200 ,$54.52 ,$54.52 ,UL CLASS RK1 TIME DELAY 6,,,,,,,,,,
LESRK70I,N,5,Never,782634990505,EY,50.00%, $123.70 , $61.8500 ,$61.85 ,$61.85 ,INDICATING FUSE,,,,,,,,,,
LESRK7I,N,10,Never,782634990352,EY,50.00%, $45.33 , $22.6650 ,$22.67 ,$22.67 ,INDICATING FUSE,,,,,,,,,,
LESRK8,N,10,Never,782634548287,BR,50.00%, $37.93 , $18.9650 ,$18.97 ,$18.97 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK80,N,5,Never,782634548430,BR,50.00%, $109.04 , $54.5200 ,$54.52 ,$54.52 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK80I,N,5,Never,782634990512,EY,50.00%, $123.70 , $61.8500 ,$61.85 ,$61.85 ,INDICATING FUSE,,,,,,,,,,
LESRK8I,N,10,Never,782634990369,EY,50.00%, $43.05 , $21.5250 ,$21.53 ,$21.53 ,INDICATING FUSE,,,,,,,,,,
LESRK9,N,10,Never,782634548294,BR,50.00%, $39.85 , $19.9250 ,$19.93 ,$19.93 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK90,N,5,Never,782634548447,BR,50.00%, $109.04 , $54.5200 ,$54.52 ,$54.52 ,UL CLASS RK1 TIME DELAY,,,,,,,,,,
LESRK90I,N,5,Never,782634990529,EY,50.00%, $123.64 , $61.8200 ,$61.82 ,$61.82 ,INDICATING FUSE,,,,,,,,,,
LESRK9I,N,10,Never,782634990376,EY,50.00%, $45.33 , $22.6650 ,$22.67 ,$22.67 ,INDICATING FUSE,,,,,,,,,,
MCL.1,N,10,Never,782634420019,BL,65.00%, $33.66 , $11.7810 ,$11.78 ,$11.78 ,MIDGET FUSE,,,,,,,,,,
MCL.125,N,10,Never,782634420026,BL,65.00%, $35.15 , $12.3025 ,$12.30 ,$12.30 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL.2,N,10,Never,782634420033,BL,65.00%, $42.18 , $14.7630 ,$14.76 ,$14.76 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL.25,N,10,Never,782634420040,BL,65.00%, $35.59 , $12.4565 ,$12.46 ,$12.46 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL.3,N,10,Never,782634420057,BL,65.00%, $42.18 , $14.7630 ,$14.76 ,$14.76 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL.5,S,10,Never,782634420064,BL,65.00%, $27.75 , $9.7125 ,$9.71 ,$9.71 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL.75,N,10,Never,782634420071,BL,65.00%, $30.39 , $10.6365 ,$10.64 ,$10.64 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL1,S,10,Never,782634420101,BL,65.00%, $24.81 , $8.6835 ,$8.68 ,$8.68 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL1.5,S,10,Never,782634420118,BL,65.00%, $28.08 , $9.8280 ,$9.83 ,$9.83 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL10,S,10,Never,782634420187,BL,65.00%, $24.81 , $8.6835 ,$8.68 ,$8.68 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL12,S,10,Never,782634420088,BL,65.00%, $30.37 , $10.6295 ,$10.63 ,$10.63 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL15,S,10,Never,782634420194,BL,65.00%, $24.81 , $8.6835 ,$8.68 ,$8.68 ,UL FAST ACTING MIDGET FUSE,,,,,,,,,,
MCL2,S,10,Never,782634420125,BL,65.00%, $25.84 , $9.0440 ,$9.04 ,$9.04 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL2.5,S,1,Never,782634420224,BL,65.00%, $32.13 , $11.2455 ,$11.25 ,$11.25 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL20,S,10,Never,782634420200,BL,65.00%, $25.39 , $8.8865 ,$8.89 ,$8.89 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL25,S,10,Never,782634420255,BL,65.00%, $26.45 , $9.2575 ,$9.26 ,$9.26 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL3,S,10,Never,782634420132,BL,65.00%, $24.81 , $8.6835 ,$8.68 ,$8.68 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL3.5,S,10,Never,782634420217,BL,65.00%, $33.52 , $11.7320 ,$11.73 ,$11.73 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL30,S,10,Never,782634420309,BL,65.00%, $25.39 , $8.8865 ,$8.89 ,$8.89 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL35,N,10,Never,782634420316,BL,65.00%, $33.08 , $11.5780 ,$11.58 ,$11.58 ,MIDGET FUSE,,,,,,,,,,
MCL4,S,10,Never,782634420149,BL,65.00%, $26.32 , $9.2120 ,$9.21 ,$9.21 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL40,S,10,Never,782634420323,BL,65.00%, $30.39 , $10.6365 ,$10.64 ,$10.64 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL5,S,10,Never,782634420156,BL,65.00%, $24.81 , $8.6835 ,$8.68 ,$8.68 ,UL FAST ACTING MIDGET FUSE,,,,,,,,,,
MCL50,N,10,Never,782634420330,BL,65.00%, $34.60 , $12.1100 ,$12.11 ,$12.11 ,MIDGET FUSE,,,,,,,,,,
MCL6,S,10,Never,782634420163,BL,65.00%, $24.13 , $8.4455 ,$8.45 ,$8.45 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL7,N,10,Never,782634420095,BL,65.00%, $29.18 , $10.2130 ,$10.21 ,$10.21 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL8,S,10,Never,782634420170,BL,65.00%, $25.27 , $8.8445 ,$8.84 ,$8.84 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MCL9,N,10,Never,782634420354,BL,65.00%, $33.52 , $11.7320 ,$11.73 ,$11.73 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
MDA-1-1/2-R,S,5,Never,051712645096,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1-1/4-R,S,5,Never,051712645102,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1/10-R,N,5,Never,051712645126,O9,50.00%, $5.32 , $2.6600 ,$2.66 ,$2.66 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1/2-R,S,5,Never,051712645140,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1/4-R,S,5,Never,051712645164,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1-6/10-R,S,5,Never,051712645119,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1/8-R,S,5,Never,051712645171,O9,50.00%, $5.32 , $2.6600 ,$2.66 ,$2.66 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-1-R,S,5,Never,051712645089,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-10-R,S,5,Never,051712645188,O9,50.00%, $2.50 , $1.2500 ,$1.25 ,$1.25 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-12-R,S,5,Never,051712645195,O9,50.00%, $2.50 , $1.2500 ,$1.25 ,$1.25 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-15/100-R,N,5,Never,051712645218,O9,50.00%, $5.32 , $2.6600 ,$2.66 ,$2.66 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-15-R,S,5,Never,051712645201,O9,50.00%, $2.50 , $1.2500 ,$1.25 ,$1.25 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-2-1/2-R,S,5,Never,051712645232,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-2/10-R,N,5,Never,051712645256,O9,50.00%, $5.66 , $2.8300 ,$2.83 ,$2.83 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-2-8/10-R,N,5,Never,051712645249,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,bUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-2-R,S,5,Never,051712645225,O9,50.00%, $2.51 , $1.2550 ,$1.26 ,$1.26 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-20-R,S,5,Never,051712542494,O9,50.00%, $2.66 , $1.3300 ,$1.33 ,$1.33 ,ROHS COMPLIANT,,,,,,,,,,
MDA-25-R,S,5,Never,051712542500,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,ROHS COMPLIANT,,,,,,,,,,
MDA-3/10-R,S,5,Never,051712645287,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-3-2/10-R,S,5,Never,051712645270,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-3/4-R,S,5,Never,051712645294,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-3/8-R,N,5,Never,051712645300,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-3-R,S,5,Never,051712645263,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-30-R,S,5,Never,051712542517,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,ROHS COMPLIANT,,,,,,,,,,
MDA-4-1/2-R,N,5,Never,051712645324,O9,50.00%, $3.39 , $1.6950 ,$1.70 ,$1.70 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-4/10-R,N,5,Never,051712645331,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-4-R,S,5,Never,051712645317,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
MDA-5-R,S,5,Never,051712645348,O9,50.00%, $2.59 , $1.2950 ,$1.30 ,$1.30 ,BUSS SMALL DIMENSION FUSE,,,,,,,,,,
