Customer:,,,,,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
Account Number:,,,,,,,,,,,,,,,,,,,,,
Agreement Number:,,,,,P51214A,,,,,,,,,,,,,,,,
Effective Date:,,,,,8/1/2022,,,,,,,,,,,,,,,,
x,,,,,Price shown in Column K is the Net Price after SPA discount per each. ,,,,,,,,,,,,,,,,
x,,,,,"Net price calculated using VPG discount off price sheet in effect.  Net prices expire with the cancellation date of the August 1, 2022 price sheet.",,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
Catalog No.,Stock,Shelf Ctn.,Breakable,UPC #,VPG,VPG % Disc, Net Dist. Price ,Calculated,Rounded SPA Price,Distributor Net Price Per Each,Product Description,,,,,,,,,,
EBS.2,N,10,Never,782634707561,BK,50.00%, $17.56 , $8.7800 ,$8.78 ,$8.78 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS.4,N,10,Never,782634707400,BK,50.00%, $17.56 , $8.7800 ,$8.78 ,$8.78 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS.75,N,1,Never,782634707417,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS.8,N,10,Never,782634707424,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS1,N,10,Never,782634707431,BK,50.00%, $14.49 , $7.2450 ,$7.25 ,$7.25 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR100,S,5,Never,782634507437,DX,65.00%, $39.09 , $13.6815 ,$13.68 ,$13.68 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
EBS1.6,N,10,Never,782634707387,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS3,N,10,Never,782634707455,BK,50.00%, $14.22 , $7.1100 ,$7.11 ,$7.11 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR3.5,N,10,Never,782634507192,DX,65.00%, $16.23 , $5.6805 ,$5.68 ,$5.68 ,RK5 250V TIME-DELAY FUSE,,,,,,,,,,
EBS1.8,N,10,Never,782634707585,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR15,S,10,Never,782634507307,DX,65.00%, $10.02 , $3.5070 ,$3.51 ,$3.51 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
EBS10,N,10,Never,782634707509,BK,50.00%, $18.34 , $9.1700 ,$9.17 ,$9.17 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR350,S,1,Never,782634507529,DX,65.00%, $172.52 , $60.3820 ,$60.38 ,$60.38 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
EBS2,N,10,Never,782634707448,BK,50.00%, $14.22 , $7.1100 ,$7.11 ,$7.11 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR300,S,1,Never,782634507512,DX,65.00%, $169.38 , $59.2830 ,$59.28 ,$59.28 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
EBS4,N,10,Never,782634707462,BK,50.00%, $16.02 , $8.0100 ,$8.01 ,$8.01 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS5,S,10,Never,782634707479,BK,50.00%, $14.22 , $7.1100 ,$7.11 ,$7.11 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECSR.4,N,10,Never,782634508045,DY,65.00%, $34.87 , $12.2045 ,$12.20 ,$12.20 ,RK5 600V TIME-DELAY FUSE,,,,,,,,,,
EBS6,N,10,Never,782634707516,BK,50.00%, $17.87 , $8.9350 ,$8.94 ,$8.94 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS7,N,10,Never,782634707486,BK,50.00%, $19.51 , $9.7550 ,$9.76 ,$9.76 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
EBS8,N,10,Never,782634707493,BK,50.00%, $19.51 , $9.7550 ,$9.76 ,$9.76 ,UL FAST ACTING MIDGET FUS,,,,,,,,,,
ECNR30,S,10,Never,782634507345,DX,65.00%, $10.02 , $3.5070 ,$3.51 ,$3.51 ,"UL CLASS RK-5 TIME DELAY, FUSE",5.62,5.96,6.42,6.84,7.88,8.69,9.84,,,HD 21.71/2 Pk
ECNR.1,N,10,Never,782634507000,DX,65.00%, $19.22 , $6.7270 ,$6.73 ,$6.73 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.15,N,10,Never,782634507017,DX,65.00%, $19.22 , $6.7270 ,$6.73 ,$6.73 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.25,N,10,Never,782634506942,DX,65.00%, $19.22 , $6.7270 ,$6.73 ,$6.73 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.6,N,10,Never,782634507062,DX,65.00%, $16.26 , $5.6910 ,$5.69 ,$5.69 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.3,N,10,Never,782634507031,DX,65.00%, $18.39 , $6.4365 ,$6.44 ,$6.44 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR1.4,N,10,Never,782634507116,DX,65.00%, $19.22 , $6.7270 ,$6.73 ,$6.73 ,RK5 250V TIME-DELAY FUSE,,,,,,,,,,
ECNR225,S,1,Never,782634507499,DX,65.00%, $169.38 , $59.2830 ,$59.28 ,$59.28 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.4,N,10,Never,782634507048,DX,65.00%, $18.39 , $6.4365 ,$6.44 ,$6.44 ,RK5 250V TIME-DELAY FUSE,,,,,,,,,,
ECNR.5,N,10,Never,782634507055,DX,65.00%, $16.15 , $5.6525 ,$5.65 ,$5.65 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR1,S,10,Never,782634507086,DX,65.00%, $14.88 , $5.2080 ,$5.21 ,$5.21 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR200,S,1,Never,782634507482,DX,65.00%, $95.58 , $33.4530 ,$33.45 ,$33.45 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR.8,N,10,Never,782634507079,DX,65.00%, $17.38 , $6.0830 ,$6.08 ,$6.08 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
ECNR1.125,N,10,Never,782634507093,DX,65.00%, $19.22 , $6.7270 ,$6.73 ,$6.73 ,"UL CLASS RK-5 TIME DELAY,",,,,,,,,,,
