"ARLINGTON INDUSTRIES, INC.",,,,,,,,,,,,,,
DISTRIBUTOR NET PRICE SHEET,,,,,,,,,,,,,,
"EFFECTIVE JULY 1, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,ITEM #,DESCRIPTION,UPC,UNIT,STD, PRICE / C ,,,,,,,,
29,4002,"3/4"" ADJ THRT LINER",01899704002,25,100, $143.29 ,,,,,,,,
29,4003,"1"" ADJ THRT LINER",01899704003,25,100, $168.96 ,,,,,,,,
29,4004,"1-1/4"" ADJ THRT LINER",01899704004,10,40, $213.01 ,,,,,,,,
29,4005,"1-1/2"" ADJ THRT LINER",01899704005,10,40, $247.31 ,,,,,,,,
29,4006,"2"" ADJ THRT LINER",01899704006,10,40, $277.97 ,,,,,,,,
73,400AST,SNAP2IT SNAP IN CONNEC,01899740347,50,500, $87.35 ,,,,,,,,
32,401,"1/2"" CONDUIT LOCKNUT",01899700401,200,2000, $10.79 ,,,,,,,,
111,4010900AST,SNAP2IT CONNECTOR,01899704089,25,250, $90.10 ,,,,,,,,
111,4010AST,SNAP 2 IT CONNECTOR,01899740355,50,500, $89.93 ,,,,,,,,
111,4010ASTBKT,SNAP2IT CONN BUCKET,01899740375,700,700, $89.93 ,,,,,,,,
32,402,"3/4"" CONDUIT LOCKNUT",01899700402,100,1000, $14.18 ,,,,,,,,
32,403,"1"" CONDUIT LOCKNUT",01899700403,100,1000, $24.37 ,,,,,,,,
32,404,"1-1/4"" CONDUIT LOCKNUT",01899700404,50,250, $36.80 ,,,,,,,,
111,404010AST,SNAP2IT SNAP IN DUPLEX,01899740533,25,100, $210.36 ,,,,,,,,
73,4040A,SNAP2IT DUPLEX CONN,01899740350,25,100, $208.47 ,,,,,,,,
73,4040AST,SNAP2IT SNAP IN CONNEC,01899740351,25,100, $204.34 ,,,,,,,,
32,405,"1-1/2"" CONDUIT LOCKNUT",01899700405,50,250, $51.85 ,,,,,,,,
32,406,"2"" CONDUIT LOCKNUT",01899700406,25,250, $70.83 ,,,,,,,,
32,407,"2-1/2"" CONDUIT LOCKNUT",01899700407,30,30, $182.68 ,,,,,,,,
73,407A,"SNAP2IT CONN 3/4"" KO",01899711432,50,500, $226.81 ,,,,,,,,
73,407AST,"SNAP2IT CONN 3/4"" KO",01899711433,50,500, $226.81 ,,,,,,,,
32,408,"3"" CONDUIT LOCKNUT",01899700408,25,25, $195.41 ,,,,,,,,
32,409,"3-1/2"" CONDUIT LOCKNUT",01899700409,25,25, $320.03 ,,,,,,,,
73,40900AST,90 DEG SNAP2IT CONNECT,01899704092,25,250, $87.52 ,,,,,,,,
