Item,Item Description,"Plat Plus 
Net Price",Cost Unit of Measure,STD PACK Qty,Bag QTY, Weight per 100 , Suggested Trade , Suggested Retail Price ,Stocking Indicator,ABC Code,Class,NAED/UPC Number,UNSPSC,Brand,,,,,,
10-151F,F.I. Disconnect F 22-16 AWG Red .250in Tab 100/Clam 5Clams  ,$10.04,CO,5,100, 24.6 ,$13.02,$14.47,N ,D  ,DIS,032076102517,39121405       ,Gardner Bender,,,,,,
10-153F,Disc Female Fully Ins 25in Tab16-14 AWG Blue 100/CL 5/CL    ,$12.38,CO,5,100, 24.8 ,$16.05,$17.83,N ,D  ,DIS,032076102531,39121405       ,Gardner Bender,,,,,,
10-153M,Disc Male Fully Insulated 25inTab 16-14 AWG Blue 80/CL 5/CL ,$10.76,CO,5,80, 22.0 ,$13.94,$15.49,N ,D  ,DIS,032076103538,39121405       ,Gardner Bender,,,,,,
10-153P,Disc M/F Fully Insulated 25in Tab 16-14 AWG Blue 100/CL 5/CL,$12.38,CO,5,100, 25.6 ,$16.05,$17.83,N ,D  ,DIS,032076101534,39121405       ,Gardner Bender,,,,,,
10-155F,F.I. Disconnect F 12-10 AWG Yellow .250in Tab 50/Clam 5Clams,$6.39,CO,5,50, 18.6 ,$8.29,$9.22,N ,D  ,DIS,032076057107,39121405       ,Gardner Bender,,,,,,
10-163P,Bullet Disc blue M/F Pairs 16-14 AWG 0156in Plug Blue 100/CL,$10.53,CO,5,10, 23.4 ,$13.65,$15.17,N ,D  ,DIS,032076101633,39121405       ,Gardner Bender,,,,,,
10-170,ASSORTMENT  TERMINAL  22-14 AWG  100/CLAM  5CLAMS/MASTER    ,$9.24,CO,5,100, 22.4 ,$11.99,$13.32,N ,D  ,TOA,032076101701,39121405       ,Gardner Bender,,,,,,
10-1G1,Uni-Lok Yellow G1 100/Ctn 10Ctns/Master                     ,$8.34,CO,10,100, 45.4 ,$10.81,$12.01,N ,D  ,STC,032076152420,39121445       ,Gardner Bender,,,,,,
10-1H1,Hex-Lok Tan H1 100/Crtn 10C   rtns/Master                   ,$5.61,CO,10,100, 52.9 ,$7.26,$8.06,N ,D  ,STC,032076024703,39121445       ,Gardner Bender,,,,,,
10222,BLUE/BLUE WATERPROOF CONNECTORS   20/BAG  10 BAGS/MASTER    ,$11.44,BG,10,20, 15.2 ,$14.84,$16.49,N ,D  ,WAT,719362102221,39121445       ,King,,,,,,
10241,DRYCONN BLUE/BLUE WATERPROOFCONNECTORS 100/CANISTER         ,$51.67,CO,6,100, 82.0 ,$67.01,$74.46,N ,D  ,SPC,719362102412,39121445       ,King,,,,,,
10260,CARTON  BLUE/BLUE WIRE CONN  6000 PC                        ,"$2,198.92",CO,1,6000," 4,023.0 ","$2,852.38","$3,169.31",N ,D  ,WAT,719362102603,39121445       ,King,,,,,,
10-2G2,Uni-Lok Red G2 100/Ctn 10Ctns/Master                        ,$9.29,CO,10,100, 66.9 ,$12.04,$13.38,N ,D  ,STC,032076894146,39121445       ,Gardner Bender,,,,,,
10-2H2,Hex-Lok Gray H2 50/Crtn 10C   rtns/Master                   ,$6.03,CO,10,50, 57.8 ,$7.82,$8.69,N ,D  ,STC,032076024772,39121445       ,Gardner Bender,,,,,,
10-310C,Crimp Connector Copper 18-10  AWG 100/Clam                  ,$7.43,CO,5,100, 21.4 ,$9.63,$10.70,N ,D  ,CRC,032076152550,39121448       ,Gardner Bender,11.38,11.88,,,,
10-311C,Crimp Connector  Copper  14-8 AWG  50/Clam  5 Clams/Master  ,$4.64,CO,5,1, 25.2 ,$6.02,$6.68,N ,D  ,CRC,032076152567,39121448       ,Gardner Bender,17.64,18.56,,,,
10-410,Crimp Connector  Steel  18-10 AWG  100/Ctn  10Ctns/Master   ,$4.64,CO,10,100, 16.2 ,$6.02,$6.68,N ,D  ,CRC,032076104108,39121448       ,Gardner Bender,,,,,,
10-410C,Crimp  Steel  18-10 AWG  100/Clam  5Clams/Master            ,$4.64,CO,5,100, 18.8 ,$6.02,$6.68,N ,D  ,CRC,032076895709,39121448       ,Gardner Bender,,,,,,
10-411,Crimp  Steel  18-8 AWG  50/Ctn  10Ctns/Master               ,$3.70,CO,10,50, 19.7 ,$4.80,$5.33,N ,D  ,CRC,032076104115,39121448       ,Gardner Bender,,,,,,
10444,DRYCONN KING 4 YELLOW DIRECT BURY  10/BAG  10 BAGS/MASTER   ,$8.83,BG,10,10, 13.6 ,$11.45,$12.72,N ,D  ,SPC,719362104447,39121445       ,King,,,,,,
10555,DRYCONN KING 5 RED DIRECT BURY  10/BAG  10 BAGS/MASTER      ,$9.34,BG,10,10, 27.1 ,$12.12,$13.46,N ,D  ,SPC,719362105550,39121445       ,King,,,,,,
10600,DRYCONN KING 6 BLUE DIRECT BURY  2/CARD  6 CARDS/MASTER     ,$2.92,EA,6,2, 9.1 ,$3.78,$4.20,N ,D  ,SPC,719362106007,39121445       ,King,,,,,,
10604,HD CARD  2 PC MDB AQUA WIRE CONN                            ,$2.83,EA,4,2, 9.8 ,$5.66,$6.29,N ,D  ,WAT,719362106045,39121445       ,King,,,,,,
10607,LOWE CA CARD  2 PC KING 6 BLUE                              ,$3.13,EA,6,2, 10.0 ,$6.27,$6.98,N ,D  ,WAT,719362106076,39121445       ,King,,,,,,
10610,LOWES CARD  4 PC KING 6 BLUE                                ,$4.30,EA,4,4, 17.0 ,$8.59,$9.54,N ,D  ,WAT,719362106106,39121445       ,King,,,,,,
10666,DRYCONN KING 6 BLUE DIRECT BURY  10/BAG  10 BAGS/MASTER     ,$9.95,BG,10,10, 26.9 ,$12.90,$14.33,N ,D  ,SPC,719362106663,39121445       ,King,,,,,,
10670,"DRYCONN KING 6 BLUE DIRECT BURY; 100/BOX, 1 BOX/MASTER      ",$95.97,BX,1,100, 256.0 ,$124.49,$138.32,N ,D  ,STC,719362106700,39121445       ,King,,,,,,
10975,"DRYCONN KING 9 DARK BLUE DIRECT BURY; 75/BOX, 1 BOX/MASTER  ",$142.24,BX,1,75, 368.0 ,$184.50,$205.00,N ,D  ,STC,719362109756,39121445       ,King,,,,,,
10990,DRYCONN KING 9 DARK BLUE DIRECT BURY  2/CARD  6 CARDS/MASTER,$4.04,EA,6,2, 12.5 ,$5.23,$5.81,N ,D  ,SPC,719362109909,39121445       ,King,,,,,,
10999,DRYCONN KING 9 DARK BLUE DIRECT BURY  8/BAG  5 BAGS/MASTER  ,$15.66,BG,5,8, 38.8 ,$20.30,$22.56,N ,D  ,SPC,719362109992,39121445       ,King,,,,,,
10-PC2,PushGard Push In Connector 2P ort: 100pc/JAR 6 Boxes/Maste  ,$12.37,CO,6,100, 48.8 ,$16.04,$17.82,N ,D  ,STC,032076057558,39121445       ,Gardner Bender,,,,,,
10-PC3,PushGard Push in Connector 3P ort 100 pc/JAR 6 Boxes/Mast   ,$13.47,BX,10,100, 61.1 ,$17.46,$19.40,N ,D  ,STC,032076064044,39121445       ,Gardner Bender,,,,,,
