"MORRIS PRICING EFFECTIVE May 13, 2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bar Code#,key,UNSPS Code,Page#,Morris Cat #,Min Piece   Order Qty,Item Description,Price Per,Broken Case Price,PVC Cement                                 1-19 Cases                            Ships UPS,PVC Cement            Pickup/Will Call,PVC Cement                     20+ Cases                  Assorted ,Qty Per Case,,,,,,,
129,601986012324,144110,26121638,D12,01232,25,12-10 .032x.250 Vin Male Sm Pk,Piece,0.1057,,,,,,,,,,,
130,601986013123,144110,26121638,D12,01312,25,22-16 .187x.020 Vin Fem Sm Pk,Piece,0.0938,,,,,,,,,,,
131,601986013147,144110,26121638,D12,01314,25,22-16 .250x.032 Vin Fem Sm Pk,Piece,0.0989,,,,,,,,,,,
132,601986013222,144110,26121638,D12,01322,25,16-14 .187x.020 Vin Fem Sm Pk,Piece,0.0951,,,,,,,,,,,
133,601986013246,144110,26121638,D12,01324,25,16-14 .250x.032 Vin Fem Sm Pk,Piece,0.0989,,,,,,,,,,,
134,601986013321,144110,26121638,D12,01332,25,12-10 .250x.032 Vin Fem Sm Pk,Piece,0.1079,,,,,,,,,,,
135,601986014113,144110,26121638,D12,01411,25,22-16 .250x.032 Nyl Fem Sm Pk,Piece,0.1477,,,,,,,,,,,
136,601986014120,144110,26121638,D12,01412,25,16-14 .250x.032 Nyl Fem Sm Pk,Piece,0.1477,,,,,,,,,,,
137,601986014144,144110,26121638,D12,01414,25,12-10 .250x.032 Nyl Fem Sm Pk,Piece,0.1885,,,,,,,,,,,
138,601986014151,144110,26121638,D12,01415,25,22-16 .250x.032 Nyl Male Sm Pk,Piece,0.1761,,,,,,,,,,,
139,601986014168,144110,26121638,D12,01416,25,16-14 .250x.032 Nyl Male Sm Pk,Piece,0.2077,,,,,,,,,,,
140,601986014182,144110,26121638,D12,01418,25,12-10 .250x.032 Nyl Male Sm Pk,Piece,0.2230,,,,,,,,,,,
141,601986100106,144110,26121638,D17,10010,100,22-16 #4 Vinyl Ins Ring Term,Piece,0.0777,,,,,,,,,,,
