Item Number,UPC Code,List Price Per 100,Net Price Per 100,Carton Qty,Carton Wt,Description,,,,,,,
9335-BHKV2,10085339881251,"1,676.68","1,078.27",18,25.02,CEIL BOX BHK VAPOR SEAL DBL DRYWALL,,,,,,,
9335-HNGK,10085339418235,579.47,372.66,50,27.50,CEILING BOX 20.5CU.,,,,,,,
9335-HNK,10085339418242,493.26,317.21,50,27.50,CEILING BOX 20.5CU.,,,,,,,
9335-HNKV2,10085339881268,"1,049.02",674.62,50,30.00,CEIL BOX HNK VAPOR SEAL DBL DRYWALL,,,,,,,
9335-NGK,10085339411823,353.28,227.19,50,24.00,CEILING BOX 20.5CU.,,,,,,,
9335-NK,10085339411625,252.84,162.60,50,23.50,CEILING BOX 20.5CU.,,,,,,,
9335-NKFR,10085339412028,721.35,463.90,50,25.00,FAN BOX 20.5CU.,,,,,,,
9335-NKRED,10085339965036,328.85,211.48,12,5.76,CEILING BOX 20.5 RED NAIL KLAMP,,,,,,,
9336-16GK,10085339102868,688.12,442.53,24,19.20,CEILING 16 CU 16 BAR HNGR GRND KKLM,,,,,,,
9336-16K,10085339102844,607.78,390.86,24,19.68,CEILING 16 CU IN 16 IN BAR K KLMP,,,,,,,
9336-BHGK,10085339881077,764.27,491.50,24,30.48,CEILING BOX BR HNGR GROUND K KLAMP,,,,,,,
9336-BHK,10085339881053,683.93,439.84,24,29.28,CEILING BOX BR HNGR K KLAMP,,,,,,,
9336-HNGK,10085339103414,552.75,355.47,50,25.00,CEILING BOX 16.0CU.,,,,,,,
9336-HNK,10085339103070,466.73,300.15,50,25.00,CEILING BOX 16.0CU.,,,,,,,
9336-NGK,10085339102813,312.13,200.73,50,21.50,CEILING BOX 16CU NAIL GROUND KLAMP,,,,,,,
9336-NK,10085339102714,217.71,140.01,50,21.00,CEILING BOX 16.0CU.,,,,,,,
9338-EK,10085339460012,250.39,161.03,50,14.00,CEILING BOX 14CU EAR KLAMP,,,,,,,
9338-EKT,10085339460388,293.09,188.49,50,14.00,CEILING BOX 14.0CU.,,,,,,,
9338-ESGK,10085339460210,509.81,327.86,50,21.00,CEILING BOX 14 CU,,,,,,,
9338-ESGKT,10085339460432,558.64,359.26,50,20.50,CEILING BOX 14.0CU.,,,,,,,
9338-ESK,10085339460067,401.52,258.22,50,20.00,SNAP BMC CEILING BOX 14CU,,5.19,,,,,
9338-ESKT,10085339460401,447.66,287.89,50,20.00,CEILING BOX 14.0CU.,,,,,,,
9339-Z+1,10085339103148,436.10,280.46,50,21.00,JUNCTION BOX 16CU Z HANGER,,,,,,,
9339-Z+1C2,10085339103186,522.93,336.30,50,22.00,JUNCTION BOX 16CU Z HANGER CLAMP,,,,,,,
9342-C2,10085339103469,398.45,256.25,50,25.00,JUNCTION BOX 27.3CU CLAMP,,,,,,,
9343-NK,10085339103742,452.80,291.19,50,26.00,JUNCTION BOX 32.3CU,,,,,,,
9343-SSK,10085339103766,490.56,315.48,50,27.00,JUNCTION BOX 32.3CU STEEL STUD KLAMP,,,,,,,
9344,10085339103681,209.94,135.01,100,8.00,COVER SQUARE,,,,,,,
9345,10085339103612,216.78,139.41,100,7.00,FLEXBOX SG PLSTR RNG .5 OFST BEIGE,,,,,,,
9345-58,10085339103728,238.43,153.33,50,4.00,FLEXBOX SG PLSTR RNG 5/8 OFST BEIGE,,,,,,,
9346,10085339103629,244.05,156.95,50,3.00,FLEXBOX 2G PLSTR RNG .5 OFST BEIGE,,,,,,,
9346-58,10085339103902,268.28,172.53,50,4.00,FLEXBOX 2G PLSTR RNG 5/8 OFST BEIGE,,,,,,,
9350-16K,10085339622243,604.65,388.85,24,21.12,CEILING 22.5 CU 16 BAR HNGR K KLAMP,,,,,,,
9350-16KV,10085339983016,"1,390.77",894.40,24,22.08,CEILING 22.5 16 BR HGR K KLP VP SEA,,,,,,,
9350-BHGK,10085339881114,750.76,482.82,24,31.92,CEILING BOX BR HNGR GRND K KLAMPS,,,,,,,
9350-BHGKV,10085339990922,"1,548.91",996.11,18,25.02,FAN BOX 22.5 CU IN VAPOR SEAL WITH GROUND,,,,,,,
9350-BHK,10085339881091,680.80,437.82,24,31.92,CEILING BOX 22.5CU BAR HANGER K KLAMPS,,7.48,6.98,656.74,,,
9350-BHKV,10085339881244,"1,484.47",954.66,18,25.02,FAN BOX 22.5 CU IN VAPOR SEAL,,,,,,,
9350-BHKV2,10085339104848,"1,707.17","1,097.88",18,25.02,FAN BOX BHK VAPOR SEAL DBL DRYWALL,,,,,,,
9350-FAN,10085339990205,"2,081.51","1,338.62",20,50.00,FAN BOX 22.5CU  W/ NEW WORK BAR POP,,,,,,,
9350-FANB,10085339990212,"1,810.01","1,164.02",20,50.00,FAN BOX 22.5CU W/ NEW WORK BAR BULK,,,,,,,
9350-FANV2B,10085339990236,"3,672.02","2,361.47",18,30.06,FAN BOX 22.5CU W/ NEW WORK BAR - DBLE LAYER VAPOR SEAL BULK,,,,,,,
9350-FANVB,10085339990229,"3,193.05","2,053.45",18,30.42,FAN BOX 22.5 CU W/ NEW WORK BAR  - VAPOR SEAL BULK,,,,,,,
9350-FRBKOW,10085339104725,"4,538.32","2,918.59",20,49.00,OLD WORK BAR  9350 22.5CU. FAN,,,,,,,
9350-HLK,10085339620942,419.23,269.61,50,27.00,CEILING BOX 22.5CU HANGER KLAMP,,4.19,,,,,
9350-HNK,10085339104626,445.80,286.70,50,30.00,CEILING BOX 22.5CU.,,,,,,,
9350-HNKV2,10085339104855,"1,068.09",686.89,50,30.00,FAN BOX HNK VAPOR SEAL DBL DRYWALL,,                                                                 ,,,,,
9350-K,10085339104183,224.79,144.56,50,22.00,CEILING BOX 22.5CU.,,,,,,,
9350-KFR,10085339104596,616.67,396.58,50,25.00,FAN BOX 22.5CU.,,,,,,,
9351-NGK,10085339652127,372.46,239.53,48,24.00,CEILING BOX 22.5CU.,,,,,,,
9351-NGKV,10085339990939,812.07,522.24,48,25.92,CEILING BOX 22.5CU WITH GROUND,,,,,,,
9351-NK,10085339104763,268.83,164.02,48,24.48,CEILING BOX 22.5CU NAIL K KLAMP,,2.95,3.35,255.38,248.8,,
9351-NKFR,10085339650024,767.07,493.30,48,25.44,FAN BOX 22.5CU.,,,,,,,
9351-NKFRV,10085339658105,"1,311.87",843.66,48,27.84,CEILING FAN BOX 22.5CU.,,,,,,,
9351-NKV,10085339658112,720.90,463.61,48,25.92,CEILING BOX 22.5CU VAPOR SEAL NAIL K KLAMP,,,,,,,
9351-SSK,10085339659928,369.27,237.48,48,23.52,CEILING BOX 22.5CU STEEL STUD KLAMP,,,,,,,
9352-BHGK,10085339984891,788.83,507.30,20,26.60,4/0 CEILING FIXTURE BOX 22.5CU BAR HANGER K KLAMPS GRD STRP,,,,,,,
9352-BHK,10085339984785,715.31,460.01,20,26.60,4/0 CEILING FIXTURE BOX 22.5CU BAR HANGER K KLAMPS,,,,,,,
9352-NGK,10085339984884,376.86,242.36,48,24.00,4/0 CEILING FIXTURE BOX 22.5CU NAIL K KLAMP GRD STRP,,,,,,,
9352-NK,10085339984778,282.08,181.40,48,24.00,4/0 CEILING FIXTURE BOX 22.5CU NAIL K KLAMP,,,,,,,
9355-GK,10085339680915,311.46,200.30,48,19.20,CEILING BOX 22CU GROUND KLAMP,,,,,,,
9355-K,10085339682919,209.08,134.46,48,18.24,CEILING BOX 22.0CU.,,,,,,,
9355-SGK,10085339681516,454.94,292.57,48,25.92,CEILING BOX 22CU SNAP GROUND KLAMP,,,,,,,
9355-SK,10085339682926,375.58,241.53,48,24.96,SNAP BMC CEILING BOX 22CU,,,,,,,
9355-SKLS,10085339682971,388.12,249.60,48,24.96,CEILING BOX 22.0CU.,,,,,,,
9361-EK,10085339105616,217.43,139.83,100,29.00,SINGLE GANG 15.8CU.,,,,,,,
9361-ESK,10085339105661,344.84,221.76,50,22.00,SINGLE GANG 15.8CU.,,,,,,,
9363-EK,10085339105760,217.43,139.83,100,30.00,SINGLE GANG 16.0CU.,,,,,,,
9363-EWK,10085339105784,300.13,193.01,100,32.00,SINGLE GANG 16.0CU EAR WING KLAMP,,3.29,3.69,,,,
9364-16K,10085339983023,599.23,385.36,24,19.92,CEILING BOX 15 CU 16 BR HNGR 2C CLM,,,,,,,
9364-BHGK,10085339881152,749.84,482.22,24,33.00,CEILING BOX BR HNGR GRND K KLAMPS,,,,,,,
