Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1209W,TVSS SurgeBloc Replacement Module WH,$22.43,$16.37,0.73,PE,Z3,Surge Products,30,,0,032664534959,,,,,,
1210BL,"Eaton SurgeBloc protection receptacle, A",$45.30,$33.07,0.73,PE,Z3,Surge Products,10,,0,032664578786,,,,,,
1210V,"Eaton SurgeBloc protection receptacle, A",$45.30,$33.07,0.73,PE,Z3,Surge Products,10,,0,03066227701311,,,,,,
1210W,"Eaton SurgeBloc protection receptacle, A",$45.30,$33.07,0.73,PE,Z3,Surge Products,10,,0,032664570926,,,,,,
1219B-BOX,Adapt Grd 3 Outlet W/Grd Lug 15A 125V BR,$4.39,$3.73,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664489709,,,,,,
1219V-BOX,Adapt Grd 3 Outlet W/Grd Lug 15A 125V IV,$4.39,$3.73,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664489754,,,,,,
122B-BOX,Recp Sgl Flsh OffCtr 50A125/250V 3P3W BR,$19.48,$14.03,0.72,PE,W8,Power Receptacles,25,1,25,032664209505,,,,,,
1233-BOX,Recp Single Flush 30A 125V 2P3W BR,$10.57,$7.61,0.72,PE,W8,Power Receptacles,25,,0,032664306204,,,,,,
1234-BOX,Recp Single Flush 30A 250V 2P3W BK,$11.34,$8.16,0.72,PE,W8,Power Receptacles,25,1,0,032664306303,,16.32,15.35,,,
1242-7FA-BOX,SW Tog 4Way 15A 120V Grd AL,$19.85,$8.44,Net Price,PE,WE,Residential Switches,10,,0,032664543814,,,,,,
1242-7FB-BOX,SW Tog 4Way 15A 120V Grd BR,$19.85,$7.82,Net Price,PE,WE,Residential Switches,50,,0,032664174407,,,,,,
1242-7FLA-BOX,SW Tog 4Way 15A 120V Grd LA,$19.85,$8.44,Net Price,PE,WE,Residential Switches,10,,0,032664583223,,,,,,
1242-7FV-BOX,SW Tog 4Way 15A 120V Grd IV,$19.85,$8.44,Net Price,PE,WE,Residential Switches,10,,0,032664174506,,,,,,
1242-7FW-BOX,SW TOG 4WAY 15A 120V GRD WH,$19.85,$8.44,Net Price,PE,WE,Residential Switches,10,,0,032664174605,,,,,,
1253-BOX,Recp Single Flush 50A 125V 2P3W BK,$11.12,$8.01,0.72,PE,W8,Power Receptacles,25,,0,032664306600,,,,,,
1254-BOX,Recp Single Flush 50A 250V 2P3W BK,$11.95,$8.60,0.72,PE,W8,Power Receptacles,25,,0,032664306709,,,16.34,,,
1254-BU;1,1254 Recp W/O Zinc Plated Strap BK,$11.95,$8.60,0.72,PE,W8,Power Receptacles,48,,0,032664591679,,,,,,
1254-BU;2,Recp Single Flush 50A 125V 2P3W BK,$11.95,$8.60,0.72,PE,W8,Power Receptacles,32,,0,032664607301,,,,,,
1254-BU;3,Recp Single Flush 50A 125V ShortStrap BK,$11.95,$8.60,0.72,PE,W8,Power Receptacles,32,,0,032664591686,,,,,,
1257-BU;3,Recp Sgl Flush 30A125/250V ShortStrap BK,$11.95,$8.60,0.72,PE,W8,Power Receptacles,32,,0,032664575532,,,,,,
1257-SP,Recp Single Flush 30A 125/250V 3P4W BK,$8.22,$5.98,Net Price,PE,W8,Power Receptacles,12,,0,032664306808,4.19,,9.85,10.45,,HD 10.61
1257W-SP,Recp Single Flush 30A 125/250V 3P4W W,$8.22,$5.98,Net Price,PE,W8,Power Receptacles,12,,0,032664752957,,,,,,
