Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
CD430MIF9W,Mech Int Pin&Slv 30A250V3PH3P4W WT FU BL,$1615.35,$1405.35,0.87,PE,TR,Mech Interlock P&S,1,1,6,032664652875,,,,,,
CD460MI12W,Mech Int Pin&Slv 60A 125/250V 3P4W WT OR,$1540.42,$1340.17,0.87,PE,TR,Mech Interlock P&S,1,1,7,040893625485,,,,,,
CD460MI5W,Mech Int Pin&Slv 60A 600V 3PH 3P4W WT BK,$1540.42,$1340.17,0.87,PE,TR,Mech Interlock P&S,1,1,8,040893625423,,,,,,
CD460MI7W,Mech Int Pin&Slv 60A 480V 3PH 3P4W WT RD,$1540.42,$1340.17,0.87,PE,TR,Mech Interlock P&S,1,1,8,040893625447,,,,,,
CD460MI9W,Mech Int Pin&Slv 60A 250V 3PH 3P4W WT BL,$1540.42,$1340.17,0.87,PE,TR,Mech Interlock P&S,1,1,8,040893625461,,,,,,
CD460MIB7W,Mech Int Pin&Slv 60A480V3PH3P4W WT FU RD,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,1,,12,032664653971,,,,,,
CD460MICB5W,Mech Int Pin&Slv 60A600V3PH3P4W CB WT BK,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,,,,032664654008,,,,,,
CD460MICB7W,Mech Int Pin&Slv 60A480V3PH3P4W WT CB RD,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,,,,032664654015,,,,,,
CD460MICB9W,Mech Int Pin&Slv 60A250V3PH3P4W WT CB BL,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,,,,032664654022,,,,,,
CD460MIF5W,Mech Int Pin&Slv 60A600V3PH3P4W FU WT BK,$2070.37,$1801.22,0.87,PE,TR,Mech Interlock P&S,1,,7,040893683447,,,,,,
CD460MIF7W,Mech Int Pin&Slv 60A480V3PH3P4W WT FU RD,$1790.45,$1557.69,0.87,PE,TR,Mech Interlock P&S,1,1,9,032664652899,,,,,,
CD460MIF9W,Mech Int Pin&Slv 60A250V3PH3P4W WT FU BL,$1790.45,$1557.69,0.87,PE,TR,Mech Interlock P&S,1,1,9,040893676692,,,,,,
CD5100MI7W,Mch Int Pin&Slv100A277/480V3PH4P5W WT RD,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,1,,4,040893687117,,,,,,
CD5100MI9W,Mch Int Pin&Slv100A120/208V3PH4P5W WT BL,$2067.51,$1798.73,0.87,PE,TR,Mech Interlock P&S,1,,15,040893687124,,,,,,
CD530MI5W,MchIntl Pin&Slv 30A 347/600V 3PH 4P5W BK,$1079.23,$938.93,0.87,PE,TR,Mech Interlock P&S,1,1,4,040893625560,,,,,,
CD530MI7W,MchIntl Pin&Slv 30A 277/480V 3PH 4P5W RD,$1079.23,$938.93,0.87,PE,TR,Mech Interlock P&S,,,,040893694948,,,,,,
CD530MI9W,Mch Intl Pin&Slv 30A120/208V 3PH 4P5W BL,$1079.23,$938.93,0.87,PE,TR,Mech Interlock P&S,1,1,4,040893625607,,,,,,
CD560MI5W,Mch Intl Pin&Slv 60A347/600V 3PH 4P5W BK,$1400.47,$1218.41,0.87,PE,TR,Mech Interlock P&S,1,1,7,040893625621,,,,,,
CD560MI7W,Mch Intl Pin&Slv 60A277/480V 3PH 4P5W RD,$1493.75,$1299.56,0.87,PE,TR,Mech Interlock P&S,1,1,8,040893625645,,,,,,
CD560MI9W,Mch Intl Pin&Slv 60A120/208V 3PH 4P5W BL,$1527.69,$1329.09,0.87,PE,TR,Mech Interlock P&S,1,1,8,040893625669,,,,,,
CD560MIF5W,MchIntl Pin&Slv 60A347/600V3PH4P5W FU BK,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,1,,8,040893687193,,,,,,
CD560MIF7W,MchIntl Pin&Slv 60A277/480V3PH4P5W FU RD,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,1,,9,040893687209,,,,,,
CD560MIF9W,MchIntl Pin&Slv 60A120/208V3PH4P5W FU BL,$2678.01,$2329.87,0.87,PE,TR,Mech Interlock P&S,1,,10,040893687216,,,,,,
CDANG1,Adaptor Angle Pin&Slv 20&30A Inlets Only,$183.73,$132.29,0.72,PE,XB,Pin & Sleeve Products,2,,2,040893686820,,,,,,
CDCP100,Closure Cap for 100/125A Pin&Sleeve,$49.67,$35.76,0.72,PE,XB,Pin & Sleeve Products,1,,0,040893686868,,,,,,
CDCP320,Closure Cap for 16/20A 3W Pin&Sleeve,$171.69,$123.62,0.72,PE,XB,Pin & Sleeve Products,1,,0,040893686875,,,,,,
CDCP3430,Closure Cap for 30/32A 3W Pin&Sleeve,$160.49,$115.55,0.72,PE,XB,Pin & Sleeve Products,1,,0,040893686882,,,,,,
CDCP420,Closure Cap for 16/20A 4W Pin&Sleeve,$160.49,$115.55,0.72,PE,XB,Pin & Sleeve Products,10,,0,040893686899,,,,,,
CDCP520,Closure Cap for 16/20A 5W Pin&Sleeve,$160.49,$115.55,0.72,PE,XB,Pin & Sleeve Products,10,,0,040893686905,,,,,,
CDCP530,Closure Cap for 30/32A 5W Pin&Sleeve,$183.73,$132.29,0.72,PE,XB,Pin & Sleeve Products,10,,0,040893686912,,,,,,
CDCP60,Closure Cap for 60/63A Pin&Sleeve,$51.18,$36.85,0.72,PE,XB,Pin & Sleeve Products,10,,0,040893686813,,,,,,
CDFTBB1,Backbox FeedThru Pin&Slv 20&30A Rec&Inlt,$111.02,$79.93,0.72,PE,XB,Pin & Sleeve Products,2,,2,040893686851,,,,,,
CHSPCABLE,Coaxial Surge Protector,$64.79,$47.30,0.73,PE,Z3,Surge Products,20,,20,0786685436906,,,,,,
CHSPT2SURGE,SINGLE PHASE; UL1449 3RD EDITION; TYPE 2,$105.90,$77.31,0.73,PE,Z3,Surge Products,20,,20,0786685971285,,,,,,
CHSPT2ULTBUNDLE,Surge Bundle with CHSPT2ULTRA and 1208W,$249.34,$182.02,0.73,PE,Z3,Surge Products,10,,10,0786689017170,,,,,,
CHSPT2ULTRA,SPD Type 2 CHSP surge protector,$200.16,$146.12,0.73,PE,Z3,Surge Products,20,,20,0786685436883,,,,,,
CR15A,Recp Duplex 15A 125V 2P3W Swire Str AL,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664554872,,,,,,
CR15B,Recp Duplex 15A 125V 2P3W Swire Str BR,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664488900,,,,,,
CR15BK,Recp Duplex 15A 125V 2P3W Swire Str BK,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664554889,,,,,,
CR15BK-BU;3,"CR15BK W/O Mounting Screws,Ears & Bosses",$5.75,$3.91,0.68,PE,WU,Commercial Receptacles,100,,0,032664587788,,,,,,
CR15GY,Recp Duplex 15A 125V 2P3W Swire Str GY,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664489082,,,,,,
CR15LA,Recp Duplex 15A 125V 2P3W Swire Str LA,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664583155,,,,,,
CR15V,Recp Duplex 15A 125V 2P3W Swire Str IV,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664488986,,,,,,
CR15W,Recp Duplex 15A 125V 2P3W Swire Str WH,$2.22,$1.51,0.68,PE,WU,Commercial Receptacles,100,10,0,032664489037,,,,,,
CR20A,Recp Duplex 20A 125V 2P3W Str Swire AL,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664554896,,,,,,
CR20B,Recp Duplex 20A 125V 2P3W Str Swire BR,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664489105,,,,,,
CR20BK,Recp Duplex 20A 125V 2P3W Str Swire BK,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664554902,,,,,,
CR20BK-BU;1,"REC,20A GRD W/O EARS OR MTG SCRS, BOSSES",$5.75,$3.91,0.68,PE,WU,Commercial Receptacles,100,,0,032664587849,,,,,,
CR20BK-BU;2,"REC,20A W/O EARS,M.SCRS,CLIPPED HOT TERM",$5.75,$3.91,0.68,PE,WU,Commercial Receptacles,100,,0,032664611094,,,,,,
CR20GY,Recp Duplex 20A 125V 2P3W Str Swire GY,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664489280,,,,,,
CR20LA,Recp Duplex 20A 125V 2P3W Str Swire LA,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664583162,,,,,,
CR20V,Recp Duplex 20A 125V 2P3W Str Swire IV,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664489181,3.72,3.36,2.98,,HD 2.97/10,3.78ea
CR20W,Recp Duplex 20A 125V 2P3W Str Swire WH,$2.43,$1.35,Net Price,PE,WU,Commercial Receptacles,100,10,0,032664489235,,,,,,
CR4700,Recp CR Duplex 15A 125V 2P3W H/L YL,$75.00,$71.25,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893676838,,,,,,
CR5792,Recp Dup CR 15A125V2P3W Combo Str/Lkg YL,$59.27,$56.31,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893682488,,,,,,
CRL1420C,Conn CR 20A 125/250V 3P4W H/L YL,$39.22,$37.26,0.95,PE,XL,Elastomeric Connectors,10,10,0,040893679891,,,,,,
CRL1420P,Plug CR 20A 125/250V 3P4W H/L YL,$32.68,$31.05,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678665,,,,,,
CRL1420R,Recp Single CR 20A 125/250V 3P4W H/L YL,$43.14,$40.98,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893677392,,,,,,
CRL1430C,Conn CR 30A 125/250V 3P4W H/L YL,$39.61,$37.63,0.95,PE,XL,Elastomeric Connectors,10,10,10,040893680002,,,,,,
CRL1430P,Plug CR 30A 125/250V 3P4W H/L YL,$33.02,$31.37,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678771,,,,,,
CRL1430R,Recp Single CR 30A 125/250V 3P4W H/L YL,$41.61,$39.53,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893677491,,,,,,
CRL1520C,Conn CR 20A 250V 3PH 3P4W H/L YL,$40.01,$38.01,0.95,PE,XL,Elastomeric Connectors,10,10,0,040893679921,,,,,,
CRL1520P,Plug CR 20A 250V 3PH 3P4W H/L YL,$33.33,$31.66,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678696,,,,,,
CRL1520R,Recp Single CR 20A 250V 3PH 3P4W H/L YL,$42.02,$39.92,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893677439,,,,,,
CRL1530C,Conn CR 30A 250V 3PH 3P4W H/L YL,$40.40,$38.38,0.95,PE,XL,Elastomeric Connectors,10,10,10,040893680033,,,,,,
CRL1530P,Plug CR 30A 250V 3PH 3P4W H/L YL,$33.68,$32.00,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678801,,,,,,
CRL1620C,Conn CR 20A 480V 3PH 3P4W H/L YL,$40.83,$38.79,0.95,PE,XL,Elastomeric Connectors,10,10,0,040893679952,,,,,,
CRL1620P,Plug CR 20A 480V 3PH 3P4W H/L YL,$34.00,$32.30,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678726,,,,,,
CRL1630P,Plug CR 30A 480V 3PH 3P4W H/L YL,$34.35,$32.63,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678825,,,,,,
CRL520C,Conn CR 20A 125V 2P3W H/L YL,$25.73,$24.44,0.95,PE,XL,Elastomeric Connectors,10,10,0,040893679389,,,,,,
CRL520P,Plug CR 20A 125V 2P3W H/L YL,$17.16,$16.30,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678238,,,,,,
CRL520R,Recp Single CR 20A 125V 2P3W H/L YL,$28.31,$26.89,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893676975,,,,,,
CRL530C,Conn CR 30A 125V 2P3W H/L YL,$27.38,$26.01,0.95,PE,XL,Elastomeric Connectors,10,10,0,040893679525,,,,,,
CRL530P,Plug CR 30A 125V 2P3W H/L YL,$18.24,$17.33,0.95,PE,WR,Elastomeric Plugs,10,10,10,040893678399,,,,,,
CRL530R,Recp Single CR 30A 125V 2P3W H/L YL,$30.11,$28.60,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893677156,,,,,,
CRL620P,Plug CR 20A 250V 2P3W H/L YL,$20.50,$19.48,0.95,PE,WR,Elastomeric Plugs,10,10,10,040893678283,,,,,,
CRL620R,Recp CR 20A 250V 2P3W H/L YL,$33.84,$32.15,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893677033,,,,,,
CRL630C,Conn CR 30A 250V 2P3W H/L YL,$32.59,$30.96,0.95,PE,XL,Elastomeric Connectors,10,10,0,040893679556,,,,,,
CRL630P,Plug CR 30A 125V 2P3W H/L YL,$21.74,$20.65,0.95,PE,WR,Elastomeric Plugs,10,10,0,040893678443,,,,,,
CRL630R,Recp Single CR 30A 125V 2P3W H/L YL,$35.85,$34.06,0.95,PE,YE,Elastomeric Receptacles,50,10,0,040893682495,,,,,,
CS115A,Switch Toggle SP 15A 120/277V Swire AL,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664554957,,,,,,
CS115B,Switch Toggle SP 15A 120/277V Swire BR,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487309,,,,,,
CS115BK,Switch Toggle SP 15A 120/277V Swire BK,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664554964,,,,,,
CS115GY,Switch Toggle SP 15A 120/277V Swire GY,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487484,,,,,,
CS115LA,Switch Toggle SP 15A 120/277V Swire LA,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664644856,,,,,,
CS115V,Switch Toggle SP 15A 120/277V Swire IV,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664487385,,,,,,
CS115W,Switch Toggle SP 15A 120/277V Swire WH,$3.92,$2.16,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664487439,,,,,,
CS120A,Switch Toggle SP 20A 120/277V Swire AL,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664554995,,,,,,
CS120B,Switch Toggle SP 20A 120/277V Swire BR,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664750779,,,,,,
CS120B-SP-L,Switch Toggle SP 20A 120/277V Swire BR,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,10,,0,032664488108,,,,,,
CS120BK,Switch Toggle SP 20A 120/277V Swire BK,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664750786,,,,,,
CS120BK-SP-L,Switch Toggle SP 20A 120/277V Swire BK,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,18,,0,032664555008,,,,,,
CS120BK-SP-L2,Switch Toggle SP 20A 120/277V Swire BK,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,10,,0,032664747045,,,,,,
CS120GY,Switch Toggle SP 20A 120/277V Swire GY,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664488283,,,,,,
CS120LA,Switch Toggle SP 20A 120/277V Swire LA,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664583179,,,,,,
CS120V,Switch Toggle SP 20A 120/277V Swire IV,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488184,,,,,,
CS120V-BOX,Switch Toggle SP 20A 120/277V Swire IV,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664652134,,,,,,
CS120W,Switch Toggle SP 20A 120/277V Swire WH,$4.11,$2.26,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488238,,,,,,
CS215B,Switch Toggle DP 15A 120/277V Swire BR,$6.45,$3.55,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487507,,,,,,
CS215BK,Switch Toggle DP 15A 120/277V Swire BK,$6.45,$3.55,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664555916,,,,,,
CS215GY,Switch Toggle DP 15A 120/277V Swire GY,$6.45,$3.55,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487651,,,,,,
CS215LA,Switch Toggle DP 15A 120/277V Swire LA,$6.45,$3.55,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664630057,,,,,,
CS215V,Switch Toggle DP 15A 120/277V Swire IV,$6.45,$3.55,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487552,,,,,,
CS215W,Switch Toggle DP 15A 120/277V Swire WH,$6.45,$3.55,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487606,,,,,,
CS220B,Switch Toggle DP 20A 120/277V Swire BR,$7.40,$4.07,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488306,,,,,,
CS220BK,Switch Toggle DP 20A 120/277V Swire BK,$7.40,$4.07,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664555923,,,,,,
CS220GY,Switch Toggle DP 20A 120/277V Swire GY,$7.40,$4.07,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664488450,,,,,,
CS220LA,Switch Toggle DP 20A 120/277V Swire LA,$7.40,$4.07,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664583186,,,,,,
CS220V,Switch Toggle DP 20A 120/277V Swire IV,$7.40,$4.07,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488351,,,,,,
CS220W,Switch Toggle DP 20A 120/277V Swire WH,$7.40,$4.07,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488405,,,,,,
CS315B,Switch Toggle 3Way 15A 120/277V Swire BR,$4.88,$2.68,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487705,,,,,,
CS315BK,Switch Toggle 3Way 15A 120/277V Swire BK,$4.88,$2.68,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664554988,,,,,,
CS315GY,Switch Toggle 3Way 15A 120/277V Swire GY,$4.88,$2.68,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664487859,,,,,,
CS315LA,Switch Toggle 3Way 15A 120/277V Swire LA,$4.88,$2.68,0.55,PE,WT,Commercial/Industrial Switches,50,1,0,032664644863,,,,,,
CS315V,Switch Toggle 3Way 15A 120/277V Swire IV,$4.88,$2.68,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664487750,,,,,,
CS315W,Switch Toggle 3Way 15A 120/277V Swire WH,$4.88,$2.68,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664487804,,,,,,
CS320B,Switch Toggle 3Way 20A 120/277V Swire BR,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664750793,,,,,,
CS320B-SP-L,Switch Toggle 3Way 20A 120/277V Swire BR,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,5,,0,032664488504,,,,,,
CS320BK,Switch Toggle 3Way 20A 120/277V Swire BK,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664750809,,,,,,
CS320BK-SP-L,Switch Toggle 3Way 20A 120/277V Swire BK,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,5,,0,032664555022,,,,,,
CS320GY,Switch Toggle 3Way 20A 120/277V Swire GY,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664488689,,,,,,
CS320LA,Switch Toggle 3Way 20A 120/277V Swire LA,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664583193,,,,,,
CS320V,Switch Toggle 3Way 20A 120/277V Swire IV,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488580,,,,,,
CS320W,Switch Toggle 3Way 20A 120/277V Swire WH,$5.37,$2.95,0.55,PE,WT,Commercial/Industrial Switches,100,10,0,032664488634,,,,,,
CS6360,Conn 50A 125V 2P3W H/L Armored,$79.37,$75.40,0.95,PE,YI,50A Locking Devices,,10,,040893674667,,,,,,
CS6360EX,Conn 50A 125V 2P3W H/L Nylon BK,$66.22,$62.91,0.95,PE,YI,50A Locking Devices,10,,10,032664663857,,,,,,
CS6361,Plug 50A 125V 2P3W H/L Armored,$62.51,$59.38,0.95,PE,YI,50A Locking Devices,,10,,040893674636,,,,,,
CS6361EX,Plug 50A 125V 2P3W H/L Nylon BK,$51.94,$49.34,0.95,PE,YI,50A Locking Devices,10,,10,032664663864,,,,,,
CS6364,Conn 50A 125/250V 3P4W H/L Armored,$55.89,$53.10,0.95,PE,YI,50A Locking Devices,,10,,040893676654,,,,,,
CS6364EX,Conn 50A 125/250V 3P4W H/L Nylon BK,$74.36,$70.64,0.95,PE,YI,50A Locking Devices,10,,10,032664663871,,,,,,
CS6364EXBK,Conn 50A 125/250V 3P4W H/L Nylon BK BK,$78.06,$74.16,0.95,PE,YI,50A Locking Devices,10,,10,032664730474,,,,,,
CS6365,Plug 50A 125/250V 3P4W H/L Armored,$55.61,$52.83,0.95,PE,YI,50A Locking Devices,10,,10,040893676630,,,,,,
CS6365EX,Plug 50A 125/250V 3P4W H/L Nylon BK,$57.56,$54.68,0.95,PE,YI,50A Locking Devices,10,,10,032664663888,,,,,,
CS6365EXBK,Plug 50A 125/250V 3P4W H/L Nylon BK BK,$60.43,$57.41,0.95,PE,YI,50A Locking Devices,10,,10,032664730481,,,,,,
CS6369,Recp 50A 125/250V 3P4W H/L BK,$52.85,$50.21,0.95,PE,YI,50A Locking Devices,10,,10,040893674834,,,,,,
CS6370,Recp 50A 125V 2P3W H/L BK,$50.40,$47.88,0.95,PE,YI,50A Locking Devices,10,,10,040893674698,,,,,,
CS6375,Flanged Inlet 50A 125/250V 3P4W H/L,$51.94,$49.34,0.95,PE,YI,50A Locking Devices,10,,10,040893679679,,,,,,
CS6376,Flanged Inlet W/Lid 50A125/250V 3P4W H/L,$64.13,$60.92,0.95,PE,YI,50A Locking Devices,10,10,10,040893679662,,,,,,
CS6377,Flanged Inlet 50A 125V 2P3W H/L,$55.28,$52.52,0.95,PE,YI,50A Locking Devices,10,,10,040893683980,,,,,,
CS6378,Flanged Inlet W/Lid 50A 125V 2P3W H/L,$56.69,$53.86,0.95,PE,YI,50A Locking Devices,10,,10,040893683973,,,,,,
CS8164,Conn 50A 480V 3PH 3P4W H/L Armored,$85.59,$81.31,0.95,PE,YI,50A Locking Devices,,10,,040893681627,,,,,,
CS8164EX,Conn 50A 480V 3PH 3P4W H/L Nylon BK,$74.36,$70.64,0.95,PE,YI,50A Locking Devices,10,,10,032664663895,,,,,,
CS8165,Plug 50A 480V 3PH 3P4W H/L Armored,$65.19,$61.93,0.95,PE,YI,50A Locking Devices,10,,10,040893679693,,,,,,
CS8165EX,Plug 50A 480V 3PH 3P4W H/L Nylon BK,$53.97,$51.27,0.95,PE,YI,50A Locking Devices,10,,10,032664663901,,,,,,
CS8169,Recp Single 50A 480V 3PH 3P4W H/L BK,$52.51,$49.88,0.95,PE,YI,50A Locking Devices,10,10,10,040893679686,,,,,,
CS8175,Flanged Inlet 50A 480V 3PH 3P4W H/L,$51.94,$49.34,0.95,PE,YI,50A Locking Devices,10,10,10,040893681658,,,,,,
CS8177,Flanged Inlet W/Lid 50A480V 3PH 3P4W H/L,$71.93,$68.33,0.95,PE,YI,50A Locking Devices,10,10,10,040893681641,,,,,,
CS8264,Conn 50A 250V 2P3W H/L Armored,$79.37,$75.40,0.95,PE,YI,50A Locking Devices,,10,,040893681948,,,,,,
CS8264EX,Conn 50A 250V 2P3W H/L Nylon BK,$63.11,$59.95,0.95,PE,YI,50A Locking Devices,10,,10,032664663918,,,,,,
CS8265,Plug 50A 250V 2P3W H/L Armored,$62.51,$59.38,0.95,PE,YI,50A Locking Devices,,10,,040893681924,,,,,,
CS8265EX,Plug 50A 250V 2P3W H/L Nylon BK,$51.64,$49.06,0.95,PE,YI,50A Locking Devices,10,,10,032664663925,,,,,,
CS8269,Recp Single 50A 250V 2P3W H/L BK,$52.21,$49.60,0.95,PE,YI,50A Locking Devices,10,10,10,040893681917,,,,,,
CS8275,Flanged Inlet 50A 250V 2P3W H/L,$50.55,$48.02,0.95,PE,YI,50A Locking Devices,10,,10,040893681979,,,,,,
CS8277,Flanged Inlet W/Lid 50A 250V 2P3W H/L,$64.13,$60.92,0.95,PE,YI,50A Locking Devices,10,10,10,040893681962,,,,,,
CS8364,Conn 50A 250V 3PH 3P4W H/L Armored,$85.59,$81.31,0.95,PE,YI,50A Locking Devices,10,,10,040893674803,,,,,,
CS8364EX,Conn 50A 250V 3PH 3P4W H/L Nylon BK,$74.36,$70.64,0.95,PE,YI,50A Locking Devices,10,,10,032664663932,,,,,,
CS8365,Plug 50A 250V 3PH 3P4W H/L Armored,$65.19,$61.93,0.95,PE,YI,50A Locking Devices,10,,10,040893674773,,,,,,
CS8365EX,Plug 50A 250V 3PH 3P4W H/L Nylon BK,$53.97,$51.27,0.95,PE,YI,50A Locking Devices,10,,10,032664663949,,,,,,
CS8369,Recp Single 50A 250V 3PH 3P4W H/L BK,$57.56,$54.68,0.95,PE,YI,50A Locking Devices,10,10,10,040893676715,,,,,,
CS8369-BU,Recp Single 50A 250V 3PH 3P4W H/L BK,$57.56,$54.68,0.95,PE,YI,50A Locking Devices,25,,25,032664736612,,,,,,
CS8375,Flanged Inlet 50A 250V 3PH 3P4W H/L,$53.95,$51.25,0.95,PE,YI,50A Locking Devices,10,,10,040893684017,,,,,,
CS8377,Flanged Inlet W/Lid 50A250V 3PH 3P4W H/L,$56.69,$53.86,0.95,PE,YI,50A Locking Devices,10,,10,040893684024,,,,,,
CS8464,Conn 50A 480V 2P3W H/L Armored,$79.37,$75.40,0.95,PE,YI,50A Locking Devices,,10,,040893674735,,,,,,
CS8464EX,Conn 50A 480V 2P3W H/L Nylon BK,$66.98,$63.63,0.95,PE,YI,50A Locking Devices,10,,10,032664663956,,,,,,
CS8465,Plug 50A 480V 2P3W H/L Armored,$62.51,$59.38,0.95,PE,YI,50A Locking Devices,,10,,040893674704,,,,,,
CS8465EX,Plug 50A 480V 2P3W H/L Nylon BK,$52.67,$50.04,0.95,PE,YI,50A Locking Devices,10,,10,032664663963,,,,,,
CS8469,Recp Single 50A 480V 2P3W H/L BK,$55.89,$53.10,0.95,PE,YI,50A Locking Devices,10,10,10,040893674766,,,,,,
CS8475,Flanged Inlet 50A 480V 3PH 3P4W H/L,$45.78,$43.49,0.95,PE,YI,50A Locking Devices,10,,10,040893683997,,,,,,
CS8477,Flanged Inlet W/Lid 50A480V 3PH 3P4W H/L,$44.02,$41.82,0.95,PE,YI,50A Locking Devices,10,,10,040893684000,,,,,,
CSB115B,Switch Toggle SP 15A 120/277V B/Swire BR,$4.34,$2.39,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664558887,,,,,,
CSB115GY,Switch Toggle SP 15A 120/277V B/Swire GY,$4.34,$2.39,0.55,PE,WT,Commercial/Industrial Switches,50,10,0,032664558917,,,,,,
