Manufacturer,UPC,Catalog Number,Description,Carton QTY,Unit Measure, List Price , Net Price ,Special Net Price,Special Net Price 2,Special Net Price 3
A&G,,354,"3/8-16 TOP BEAM CLAMP 1 1/4"" FLANGE",50,C, $294.84 , $147.42 ,,,
A&G,,360,"1/2-13 TOP BEAM CLAMP 3/4"" FLANGE",50,C, $269.90 , $134.95 ,,,
A&G,,361,"1/2-13 TOP BEAM CLAMP 1 1/4"" FLANGE",50,C, $358.36 , $179.18 ,,,
A&G,,410,"1/2"" SNAP-IN KO SEAL",100,C, $30.08 , $15.04 ,,,
A&G,,411,"3/4"" SNAP-IN KO SEAL",100,C, $31.36 , $15.68 ,,,
A&G,,412,"1"" SNAP-IN KO SEAL",100,C, $53.80 , $26.90 ,,,
A&G,,413,"1 1/4"" SNAP-IN KO SEAL",50,C, $67.48 , $33.74 ,,,
A&G,,414,"1 1/2"" SNAP-IN KO SEAL",50,C, $109.42 , $54.71 ,,,
A&G,,415,"2 "" SNAP -IN KO SEAL",25,C, $125.00 , $62.50 ,,,
A&G,,416,"2 1/2"" 3PC KO SEAL",10,C, $397.10 , $198.55 ,,,
A&G,,417,"3"" 3PC KO SEAL",10,C, $505.14 , $252.57 ,,,
A&G,,418,"3 1/2"" 3PC KO SEAL",10,C, $585.98 , $292.99 ,,,
A&G,,419,"4"" 3PC KO SEAL",10,C, $818.20 , $409.10 ,,,
A&G,,451,"1/2"" MALLEABLE IRON STRAP",100,C, $45.94 , $22.97 ,,,
A&G,,452,"3/4"" MALLEABLE IRON STRAP",100,C, $50.10 , $25.05 ,,,
A&G,,453,"1"" MALLEABLE IRON STRAP",50,C, $75.14 , $37.57 ,,,
A&G,,454,"1 1/4"" MALLEABLE IRON STRAP",50,C, $112.72 , $56.36 ,,,
A&G,,455,"1 1/2"" MALLEABLE IRON STRAP",25,C, $187.86 , $93.93 ,,,
A&G,,456,"2"" MALLEABLE IRON STRAP",20,C, $278.30 , $139.15 ,,,
A&G,,457,"2 1/2"" MALLEABLE IRON STRAP",20,C, $493.36 , $246.68 ,,,
